Airport Code,Name,Country
ABJ,Port Bouet Airport,Cote d'Ivoire
ABV,Nnamdi Azikiwe International Airport,Nigeria
ACC,Kotoka International Airport,Ghana
ADD,Bole International Airport,Ethiopia
AMA,Angama Airstrip,Kenya
AMS,Amsterdam Airport Schiphol,Netherlands
APL,Nampula Airport,Mozambique
ASV,Amboseli Airport,Kenya
AUH,Abu Dhabi International Airport,United Arab Emirates
BJM,Bujumbura International Airport,Burundi
BKK,Suvarnabhumi Airport,Thailand
BLZ,Chileka International Airport,Malawi
BMQ,Bamburi Airport,Kenya
BOM,Chhatrapati Shivaji International Airport,India
BRU,Brussels Airport,Belgium
CAI,Cairo International Airport,Egypt
CAN,Guangzhou Baiyun International Airport,China
DAR,Julius Nyerere International Airport,Tanzania
DLA,Douala International Airport,Cameroon
DOH,Hamad International Airport,Qatar
DXB,Dubai International Airport,United Arab Emirates
EBB,Entebbe International Airport,Uganda
EDL,Eldoret International Airport,Kenya
EYS,Eliye Springs Airport,Kenya
FBM,Lubumbashi International Airport,Democratic Republic of the Congo
FIH,N'djili Airport,Democratic Republic of the Congo
GAS,Garissa Airport,Kenya
GBE,Sir Seretse Khama International Airport,Botswana
GGM,Kakamega Airport,Kenya
HAD,Hola Airport,Kenya
HAH,Prince Said Ibrahim International Airport,Comoros
HRE,Harare International Airport,Zimbabwe
ILU,Kilaguni Airport,Kenya
IST,Istanbul Ataturk Airport,Turkey
JED,King Abdulaziz International Airport,Saudi Arabia
JJM,Mulika Lodge Airport,Kenya
JNB,O. R. Tambo International Airport,South Africa
JRO,Kilimanjaro International Airport,Tanzania
JUB,Juba International Airport,South Sudan 
KEU,Keekorok Airport,Kenya
KEY,Kericho Airport,Kenya
KGL,Kigali International Airport,Rwanda
KIS,Kisumu Airport,Kenya
KLK,Kalokol Airport,Kenya
KRT,Khartoum International Airport,Sudan
KRV,Kimwarer Airport,Kenya
KTL,Kitale Airport,Kenya
KWY,Kiwayu Airport,Kenya
LAU,Manda Airport,Kenya
LBK,Liboi Airport,Kenya
LBN,Lake Baringo Airport,Kenya
LHR,Heathrow Airport,United Kingdom 
LKG,Lokichogio Airport,Kenya
LLW,Lilongwe International Airport,Malawi
LOK,Lodwar Airport,Kenya
LOS,Murtala Muhammed International Airport,Nigeria
LOY,Loiyangalani Airport,Kenya
LUN,Kenneth Kaunda International Airport,Zambia
MBA,Moi International Airport,Kenya
MPM,Maputo International Airport,Mozambique
MRE,Mara Serena Airport,Kenya
MRU,Sir Seewoosagur Ramgoolam International Airport,Mauritius
MYD,Malindi Airport,Kenya
NBO,Jomo Kenyatta International Airport,Kenya
NDE,Mandera Airport,Kenya
NLA,Simon Mwansa Kapwepwe International Airport,Zambia
NSI,Yaounde Nsimalen International Airport,Cameroon
NUU,Nakuru Airport,Kenya
NYE,Nyeri Airport,Kenya
NYK,Nanyuki Airport,Kenya
OYL,Moyale Airport,Kenya
RBT,Marsabit Airport,Kenya
SEZ,Seychelles International Airport,Seychelles
SHJ,Sharjah International Airport,United Arab Emirates
TNR,Ivato International Airport,Madagascar
UAS,Samburu Airport,Kenya
UKA,Ukunda Airport,Kenya
UKU,Nuku Airport,Papua New Guinea
WIL,Wilson Airport,Kenya
WJR,Wajir Airport,Kenya
ZNZ,Abeid Amani Karume International Airport,Tanzania
ZRH,Zurich Airport,Switzerland 