Flight Type,Fl No. Arrival,Origin,ETA,ATA,Fl No. Departures,Dest,ETD,ATD
Full,BA065,LHR,20:30,20:40,BA064,LHR,23:15,23:30
Full,EK719,DXB,14:30,14:40,EK720,DUB,16:40,16:53
Full,ET302,ADD,10:20,10:20,ET303,ADD,11:35,11:40
Arr,ET304,ADD,12:20,12:20,ET305,ADD,13:44,13:44
Park,ET304,ADD,13:50,13:50,ET305,ADD,15:59,16:33
Dep,ET304,ADD,16:05,16:39,ET305,ADD,17:35,18:09
Full,ET306,ADD,18:15,18:20,ET307,ADD,19:35,19:40
Arr,ET308,ADD,23:40,23:40,ET309,ADD,01:04,01:04
Park,ET308,ADD,01:10,01:10,ET309,ADD,04:24,04:44
Dep,ET308,ADD,04:30,04:50,ET309,ADD,06:00,06:20
Arr,ET308,ADD,23:45,23:45,ET309,ADD,01:09,01:09
Park,ET308,ADD,01:15,01:15,ET309,ADD,04:24,04:39
Dep,ET308,ADD,04:30,04:45,ET309,ADD,06:00,06:15
Full,EY641,AUH,12:47,12:36,EY642,AUH,13:40,13:50
Full,G9734,SHJ,13:06,14:36,G9735,SHJ,13:40,15:00
Full,KL565,AMS,20:25,20:30,KL566,AMS,22:25,22:25
Arr,KQ101,LHR,06:30,05:45,KQ310,DXB,07:54,07:09
Park,KQ101,LHR,08:00,07:15,KQ310,DXB,17:39,17:51
Dep,KQ101,LHR,17:45,17:57,KQ310,DXB,19:15,19:27
Full,KQ117,AMS,06:10,06:25,KQ116,AMS,08:35,08:59
Full,KQ205,BOM,10:30,11:47,KQ704,LUN,12:05,12:45
Full,KQ251,SEZ,18:25,19:26,KQ330,JED,21:30,21:49
Arr,KQ252,HAH,18:25,18:25,,,19:49,19:49
Park,KQ252,HAH,19:55,19:55,,,22:23,22:23
Dep,KQ252,HAH,22:29,22:29,,,23:59,23:59
Arr,KQ257,TNR,20:15,20:15,KQ536,ABV,21:39,21:39
Park,KQ257,TNR,21:45,21:45,KQ536,ABV,06:19,06:19
Dep,KQ257,TNR,06:25,06:25,KQ536,ABV,07:55,07:55
Full,KQ257,TNR,20:15,19:51,KQ708,HRE,23:00,23:00
Arr,KQ311,DXB,06:55,06:55,KQ554,FIH,08:19,08:19
Park,KQ311,DXB,08:25,08:25,KQ554,FIH,10:29,10:46
Dep,KQ311,DXB,10:35,10:52,KQ554,FIH,12:05,12:22
Full,KQ349,KRT,06:35,06:35,KQ402,JIB,08:15,08:15
Full,KQ351,JUB,12:10,11:50,KQ608,MBA,14:15,14:31
Full,KQ353,JUB,18:00,17:55,KQ624,MBA,22:55,22:55
Full,KQ403,ADD,17:30,17:40,KQ416,EBB,19:10,19:10
Full,KQ411,EBB,11:05,11:05,KQ412,EBB,12:00,12:00
Arr,KQ413,EBB,15:05,15:05,,,16:29,16:29
Park,KQ413,EBB,16:35,16:35,,,22:23,22:23
Dep,KQ413,EBB,22:29,22:29,,,23:59,23:59
Full,KQ415,EBB,19:25,19:48,KQ488,DAR,22:55,23:58
Full,KQ417,EBB,22:15,21:19,KQ466,KGL,23:20,23:45
Full,KQ419,EBB,06:35,06:19,KQ432,JRO,08:00,08:00
Arr,KQ433,JRO,10:45,10:45,KQ444,BJM,12:09,12:09
Park,KQ433,JRO,12:15,12:15,KQ444,BJM,14:34,15:04
Dep,KQ433,JRO,14:40,15:10,KQ444,BJM,16:10,16:40
Full,KQ437,JRO,22:00,21:10,,,23:59,23:59
Arr,KQ444,BJM,21:15,21:15,KQ650,KIS,22:39,22:39
Park,KQ444,BJM,22:45,22:45,KQ650,KIS,05:14,05:21
Dep,KQ444,BJM,05:20,05:27,KQ650,KIS,06:50,06:57
Full,KQ444,BJM,21:15,20:40,KQ498,ZNZ,23:00,23:00
Arr,KQ447,KGL,06:05,06:05,KQ748,APL,07:29,07:29
Park,KQ447,KGL,07:35,07:35,KQ748,APL,10:49,11:19
Dep,KQ447,KGL,10:55,11:25,KQ748,APL,12:25,12:55
Arr,KQ448,BJM,12:50,12:50,KQ486,DAR,14:14,14:14
Park,KQ448,BJM,14:20,14:20,KQ486,DAR,17:14,18:04
Dep,KQ448,BJM,17:20,18:10,KQ486,DAR,18:50,19:40
Full,KQ481,DAR,11:10,12:05,KQ586,NLA,12:30,12:42
Full,KQ483,DAR,15:30,15:18,KQ414,EBB,16:20,17:33
Arr,KQ485,DAR,19:20,18:34,KQ448,BJM,20:44,19:58
Park,KQ485,DAR,20:50,20:04,KQ448,BJM,06:09,07:16
Dep,KQ485,DAR,06:15,07:22,KQ448,BJM,07:45,08:52
Full,KQ485,DAR,19:20,18:29,KQ734,LUN,22:45,23:46
Arr,KQ487,DAR,22:15,22:15,KQ256,TNR,23:39,23:39
Park,KQ487,DAR,23:45,23:45,KQ256,TNR,11:09,11:35
Dep,KQ487,DAR,11:15,11:41,KQ256,TNR,12:45,13:11
Full,KQ487,DAR,22:15,21:56,,,23:59,23:59
Full,KQ489,DAR,06:40,06:40,KQ494,ZNZ,08:05,08:05
Full,KQ495,ZNZ,11:15,10:53,KQ482,DAR,12:05,12:24
Full,KQ509,ACC,06:10,06:08,KQ760,JNB,08:30,08:30
Full,KQ521,ABJ,06:20,06:18,KQ504,FNA,10:35,10:35
Full,KQ522,NSI,21:40,21:37,,,23:59,23:59
Arr,KQ524,DLA,18:20,18:20,KQ522,NSI,19:44,19:44
Park,KQ524,DLA,19:50,19:50,KQ522,NSI,09:44,09:54
Dep,KQ524,DLA,09:50,10:00,KQ522,NSI,11:20,11:30
Arr,KQ533,LOS,19:50,19:50,KQ542,COO,21:14,21:14
Park,KQ533,LOS,21:20,21:20,KQ542,COO,06:19,06:30
Dep,KQ533,LOS,06:25,06:36,KQ542,COO,07:55,08:06
Arr,KQ537,ABV,18:25,18:22,,,19:49,19:46
Park,KQ537,ABV,19:55,19:52,,,22:23,22:23
Dep,KQ537,ABV,22:29,22:29,,,23:59,23:59
Full,KQ542,LOS,21:00,21:49,,,23:59,23:59
Full,KQ555,FIH,20:25,20:19,KQ112,CDG,23:05,23:05
Arr,KQ584,FBM,20:05,20:05,KQ252,HAH,21:29,21:29
Park,KQ584,FBM,21:35,21:35,KQ252,HAH,09:54,10:44
Dep,KQ584,FBM,10:00,10:50,KQ252,HAH,11:30,12:20
Full,KQ586,NLA,20:05,20:25,,,23:59,23:59
Arr,KQ601,MBA,09:30,09:30,,,10:54,10:54
Park,KQ601,MBA,11:00,11:00,,,22:23,22:23
Dep,KQ601,MBA,22:29,22:29,,,23:59,23:59
Full,KQ603,MBA,11:10,11:10,KQ762,JNB,12:05,12:05
Full,KQ605,MBA,12:55,12:40,KQ352,JUB,13:40,15:14
Full,KQ607,MBA,15:35,15:50,KQ610,MBA,16:25,16:36
Full,KQ609,MBA,16:55,16:50,KQ616,MBA,18:50,18:50
Full,KQ611,MBA,19:05,19:00,KQ618,MBA,19:50,19:50
Arr,KQ617,MBA,21:30,21:15,KQ600,MBA,22:54,22:39
Park,KQ617,MBA,23:00,22:45,KQ600,MBA,05:14,05:24
Dep,KQ617,MBA,05:20,05:30,KQ600,MBA,06:50,07:00
Full,KQ617,MBA,21:30,21:15,KQ418,EBB,22:55,23:50
Arr,KQ619,MBA,22:40,22:25,KQ350,JUB,00:04,23:49
Park,KQ619,MBA,00:10,23:55,KQ350,JUB,06:14,07:04
Dep,KQ619,MBA,06:20,07:10,KQ350,JUB,07:50,08:40
Full,KQ625,MBA,06:15,06:15,KQ640,MYD,08:55,08:55
Full,KQ641,MYD,11:45,12:57,KQ606,MBA,12:55,13:40
Full,KQ651,KIS,09:10,09:02,KQ654,KIS,09:55,09:55
Full,KQ655,KIS,12:15,12:02,KQ656,KIS,13:05,13:15
Full,KQ657,KIS,15:25,15:17,KQ670,KIS,17:30,17:40
Arr,KQ671,KIS,19:50,19:02,KQ480,DAR,21:14,20:26
Park,KQ671,KIS,21:20,20:32,KQ480,DAR,06:09,06:09
Dep,KQ671,KIS,06:15,06:15,KQ480,DAR,07:45,07:45
Full,KQ671,KIS,19:50,19:07,,,23:59,23:59
Arr,KQ704,LUN,20:30,20:27,KQ250,SEZ,21:54,21:51
Park,KQ704,LUN,22:00,21:57,KQ250,SEZ,09:54,09:54
Dep,KQ704,LUN,10:00,10:00,KQ250,SEZ,11:30,11:30
Full,KQ704,LUN,20:30,20:00,KQ764,JNB,21:50,23:00
Full,KQ717,GBE,06:50,08:20,KQ730,LLW,08:15,09:01
Full,KQ720,HRE,06:50,07:59,KQ604,MBA,10:15,10:15
Full,KQ731,LLW,13:30,13:40,KQ484,DAR,15:55,16:55
Full,KQ749,APL,18:05,18:04,KQ436,JRO,19:20,19:20
Arr,KQ752,BLZ,19:45,19:03,KQ410,EBB,21:09,20:27
Park,KQ752,BLZ,21:15,20:33,KQ410,EBB,06:24,06:39
Dep,KQ752,BLZ,06:30,06:45,KQ410,EBB,08:00,08:15
Full,KQ761,JNB,17:40,18:39,KQ204,BOM,21:25,22:56
Full,KQ763,JNB,21:25,22:27,KQ304,DXB,22:30,22:58
Full,KQ765,JNB,06:55,07:17,KQ602,MBA,08:30,08:37
Full,KQ8603,MBA,12:25,12:33,KQ8606,MBA,14:00,14:00
Full,KQ8607,MBA,16:45,16:45,KQ8608,MBA,19:30,19:30
Arr,KQ8609,MBA,22:15,22:10,KQ8602,MBA,23:39,23:34
Park,KQ8609,MBA,23:45,23:40,KQ8602,MBA,08:04,08:04
Dep,KQ8609,MBA,08:10,08:10,KQ8602,MBA,09:40,09:40
Full,KQ8609,MBA,22:15,22:05,,,23:59,23:59
Full,KQ8651,KIS,08:30,07:37,KQ8690,UKU,09:10,09:34
Arr,KQ8655,KIS,20:00,20:00,KQ8650,KIS,21:24,21:24
Park,KQ8655,KIS,21:30,21:30,KQ8650,KIS,04:54,05:09
Dep,KQ8655,KIS,05:00,05:15,KQ8650,KIS,06:30,06:45
Full,KQ8655,KIS,20:00,20:56,,,23:59,23:59
Full,KQ8661,EDL,09:00,09:28,KQ8680,LAU,09:40,11:25
Arr,KQ8665,EDL,19:10,18:55,KQ8660,EDL,20:34,20:19
Park,KQ8665,EDL,20:40,20:25,KQ8660,EDL,05:24,05:24
Dep,KQ8665,EDL,05:30,05:30,KQ8660,EDL,07:00,07:00
Full,KQ8665,EDL,19:10,19:30,,,23:59,23:59
Full,KQ8681,MYD,13:30,14:35,KQ8654,KIS,18:00,18:00
Full,KQ8691,UKU,11:30,11:24,KQ8692,UKU,14:10,14:10
Full,KQ8693,UKU,16:30,15:48,KQ8664,EDL,17:10,17:24
Arr,KQ887,BKK,06:45,06:45,KQ886,BKK,08:09,08:09
Park,KQ887,BKK,08:15,08:15,KQ886,BKK,21:34,21:34
Dep,KQ887,BKK,21:40,21:40,KQ886,BKK,23:10,23:10
Full,LX294,ZRH,18:40,18:50,LX295,DAR,19:35,19:55
Full,MK534,MRU,11:50,11:55,MK535,MRU,13:05,13:15
Full,MS849,CAI,07:10,07:10,MS850,CAI,08:10,08:15
Full,PW715,ZNZ,21:15,20:55,,,23:59,23:59
Full,PW723,JRO,07:00,07:00,PW722,JRO,08:30,08:30
Arr,PW725,JRO,19:20,18:10,PW710,ZNZ,20:44,19:34
Park,PW725,JRO,20:50,19:40,PW710,ZNZ,06:34,06:34
Dep,PW725,JRO,06:40,06:40,PW710,ZNZ,08:10,08:10
Full,PW725,JRO,19:20,18:10,,,23:59,23:59
Full,PW727,JRO,16:00,15:02,PW726,JRO,16:50,16:50
Full,QR1337,DOH,09:30,09:50,QR1338,DOH,12:35,12:45
Full,QR1339,DOH,13:10,13:20,QR1340,DOH,17:35,17:45
Full,SA184,JNB,15:15,15:25,SA185,JNB,16:05,16:15
Full,SN463,BRU,21:45,21:45,SN463,BRU,22:45,22:50
Full,SV431,JED,11:32,11:42,SV430,JED,13:10,13:25
Full,TK6510,FIH,18:30,18:11,TK6492,IST,21:00,21:20
Full,TM4462,MPM,14:25,14:37,TM4463,MPM,15:45,15:57
Full,WB402,KGL,15:40,15:45,WB403,KGL,16:30,16:30
Full,WB450,EBB,10:40,10:50,WB450,KGL,11:25,11:35
Full,WB460,KGL,20:15,20:25,WB460,EBB,21:35,21:45
Full,,,06:50,06:50,KQ210,BOM,07:50,08:40
Full,,,22:25,22:25,KQ102,LHR,23:25,23:41
Arr,CZ633,CAN,07:00,07:00,CZ634,CAN,08:24,08:24
Park,CZ633,CAN,08:30,08:30,CZ634,CAN,11:59,12:19
Dep,CZ633,CAN,12:05,12:25,CZ634,CAN,13:35,13:55
Full,EK721,DXB,19:00,19:20,EK722,DUB,22:50,22:59
Arr,SA180,JNB,22:40,22:40,SA181,JNB,00:04,00:04
Park,SA180,JNB,00:10,00:10,SA181,JNB,06:54,07:09
Dep,SA180,JNB,07:00,07:15,SA181,JNB,08:30,08:45
Full,TK607,IST,07:25,07:15,TK608,IST,10:35,11:05