Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,BA065,LHR,20:30,20:30,BA064,LHR,23:15,23:20
Full,EK719,DXB,14:30,14:35,EK720,DUB,16:40,16:40
Full,ET302,ADD,10:20,10:25,ET303,ADD,11:35,11:35
Arr,ET304,ADD,12:20,12:20,ET305,ADD,13:44,13:44
Park,ET304,ADD,13:50,13:50,ET305,ADD,15:59,15:59
Dep,ET304,ADD,16:05,16:05,ET305,ADD,17:35,17:35
Full,ET306,ADD,18:15,18:15,ET307,ADD,19:35,19:40
Arr,ET308,ADD,23:40,23:40,ET309,ADD,1:04,1:04
Park,ET308,ADD,1:10,1:10,ET309,ADD,4:24,4:29
Dep,ET308,ADD,4:30,4:35,ET309,ADD,6:00,6:05
Arr,ET308,ADD,23:45,23:45,ET309,ADD,1:09,1:09
Park,ET308,ADD,1:15,1:15,ET309,ADD,4:24,4:29
Dep,ET308,ADD,4:30,4:35,ET309,ADD,6:00,6:05
Full,EY641,AUH,12:47,12:45,EY642,AUH,13:40,13:40
Full,G9734,SHJ,13:06,13:19,G9735,SHJ,13:40,14:10
Full,KL565,AMS,20:25,20:25,KL566,AMS,22:25,22:25
Arr,KQ101,LHR,6:30,6:30,KQ310,DXB,7:54,7:54
Park,KQ101,LHR,8:00,8:00,KQ310,DXB,17:39,17:39
Dep,KQ101,LHR,17:45,17:45,KQ310,DXB,19:15,19:15
Full,KQ117,AMS,6:10,6:10,KQ116,AMS,8:35,8:35
Full,KQ205,BOM,10:30,10:28,KQ704,LUN,12:05,12:05
Full,KQ251,SEZ,18:25,18:23,KQ330,JED,21:30,21:30
Arr,KQ252,HAH,18:25,18:15,,,19:49,19:39
Park,KQ252,HAH,19:55,19:45,,,22:23,22:23
Dep,KQ252,HAH,22:29,22:29,,,23:59,23:59
Arr,KQ257,TNR,20:15,20:08,KQ536,ABV,21:39,21:32
Park,KQ257,TNR,21:45,21:38,KQ536,ABV,6:19,6:19
Dep,KQ257,TNR,6:25,6:25,KQ536,ABV,7:55,7:55
Full,KQ257,TNR,20:15,20:24,KQ708,HRE,23:00,23:00
Arr,KQ311,DXB,6:55,6:55,KQ554,FIH,8:19,8:19
Park,KQ311,DXB,8:25,8:25,KQ554,FIH,10:29,10:54
Dep,KQ311,DXB,10:35,11:00,KQ554,FIH,12:05,12:30
Full,KQ349,KRT,6:35,6:25,KQ402,JIB,8:15,8:15
Full,KQ351,JUB,12:10,11:58,KQ608,MBA,14:15,14:15
Full,KQ353,JUB,18:00,17:53,KQ624,MBA,22:55,22:55
Full,KQ403,ADD,17:30,17:27,KQ416,EBB,19:10,19:10
Full,KQ411,EBB,11:05,11:05,KQ412,EBB,12:00,12:10
Arr,KQ413,EBB,15:05,14:55,,,16:29,16:19
Park,KQ413,EBB,16:35,16:25,,,22:23,22:23
Dep,KQ413,EBB,22:29,22:29,,,23:59,23:59
Full,KQ415,EBB,19:25,19:20,KQ488,DAR,22:55,22:55
Full,KQ417,EBB,22:15,22:15,KQ466,KGL,23:20,23:20
Full,KQ419,EBB,6:35,6:22,KQ432,JRO,8:00,8:00
Arr,KQ433,JRO,10:45,10:45,KQ444,BJM,12:09,12:09
Park,KQ433,JRO,12:15,12:15,KQ444,BJM,14:34,14:34
Dep,KQ433,JRO,14:40,14:40,KQ444,BJM,16:10,16:10
Full,KQ437,JRO,22:00,22:03,,,23:59,23:59
Arr,KQ444,BJM,21:15,21:13,KQ650,KIS,22:39,22:37
Park,KQ444,BJM,22:45,22:43,KQ650,KIS,5:14,5:14
Dep,KQ444,BJM,5:20,5:20,KQ650,KIS,6:50,6:50
Full,KQ444,BJM,21:15,21:25,KQ498,ZNZ,23:00,23:00
Arr,KQ447,KGL,6:05,6:05,KQ748,APL,7:29,7:29
Park,KQ447,KGL,7:35,7:35,KQ748,APL,10:49,10:49
Dep,KQ447,KGL,10:55,10:55,KQ748,APL,12:25,12:25
Arr,KQ448,BJM,12:50,12:50,KQ486,DAR,14:14,14:14
Park,KQ448,BJM,14:20,14:20,KQ486,DAR,17:14,17:14
Dep,KQ448,BJM,17:20,17:20,KQ486,DAR,18:50,18:50
Full,KQ481,DAR,11:10,11:10,KQ586,NLA,12:30,12:30
Full,KQ483,DAR,15:30,15:25,KQ414,EBB,16:20,16:20
Arr,KQ485,DAR,19:20,19:20,KQ448,BJM,20:44,20:44
Park,KQ485,DAR,20:50,20:50,KQ448,BJM,6:09,6:09
Dep,KQ485,DAR,6:15,6:15,KQ448,BJM,7:45,7:45
Full,KQ485,DAR,19:20,19:13,KQ734,LUN,22:45,22:45
Arr,KQ487,DAR,22:15,22:15,KQ256,TNR,23:39,23:39
Park,KQ487,DAR,23:45,23:45,KQ256,TNR,11:09,11:09
Dep,KQ487,DAR,11:15,11:15,KQ256,TNR,12:45,12:45
Full,KQ487,DAR,22:15,22:13,,,23:59,23:59
Full,KQ489,DAR,6:40,6:46,KQ494,ZNZ,8:05,8:05
Full,KQ495,ZNZ,11:15,11:15,KQ482,DAR,12:05,12:05
Full,KQ509,ACC,6:10,6:08,KQ760,JNB,8:30,8:30
Full,KQ521,ABJ,6:20,7:39,KQ504,FNA,10:35,10:43
Full,KQ522,NSI,21:40,21:40,,,23:59,23:59
Arr,KQ524,DLA,18:20,18:20,KQ522,NSI,19:44,19:44
Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Park,KQ524,DLA,19:50,19:50,KQ522,NSI,9:44,9:44
Dep,KQ524,DLA,9:50,9:50,KQ522,NSI,11:20,11:20
Arr,KQ533,LOS,19:50,19:50,KQ542,COO,21:14,21:14
Park,KQ533,LOS,21:20,21:20,KQ542,COO,6:19,7:08
Dep,KQ533,LOS,6:25,7:14,KQ542,COO,7:55,8:44
Arr,KQ537,ABV,18:25,18:18,,,19:49,19:42
Park,KQ537,ABV,19:55,19:48,,,22:23,22:23
Dep,KQ537,ABV,22:29,22:29,,,23:59,23:59
Full,KQ542,LOS,21:00,20:06,,,23:59,23:59
Full,KQ555,FIH,20:25,20:18,KQ112,CDG,23:05,23:05
Arr,KQ584,FBM,20:05,19:52,KQ252,HAH,21:29,21:16
Park,KQ584,FBM,21:35,21:22,KQ252,HAH,9:54,9:59
Dep,KQ584,FBM,10:00,10:05,KQ252,HAH,11:30,11:35
Full,KQ586,NLA,20:05,20:19,,,23:59,23:59
Arr,KQ601,MBA,9:30,9:30,,,10:54,10:54
Park,KQ601,MBA,11:00,11:00,,,22:23,22:23
Dep,KQ601,MBA,22:29,22:29,,,23:59,23:59
Full,KQ603,MBA,11:10,11:10,KQ762,JNB,12:05,12:18
Full,KQ605,MBA,12:55,12:50,KQ352,JUB,13:40,13:40
Full,KQ607,MBA,15:35,15:35,KQ610,MBA,16:25,16:25
Full,KQ609,MBA,16:55,17:00,KQ616,MBA,18:50,18:50
Full,KQ611,MBA,19:05,19:10,KQ618,MBA,19:50,19:50
Arr,KQ617,MBA,21:30,21:30,KQ600,MBA,22:54,22:54
Park,KQ617,MBA,23:00,23:00,KQ600,MBA,5:14,5:14
Dep,KQ617,MBA,5:20,5:20,KQ600,MBA,6:50,6:50
Full,KQ617,MBA,21:30,21:30,KQ418,EBB,22:55,22:55
Arr,KQ619,MBA,22:40,22:38,KQ350,JUB,0:04,0:02
Park,KQ619,MBA,0:10,0:08,KQ350,JUB,6:14,6:20
Dep,KQ619,MBA,6:20,6:26,KQ350,JUB,7:50,7:56
Full,KQ625,MBA,6:15,6:15,KQ640,MYD,8:55,8:55
Full,KQ641,MYD,11:45,11:35,KQ606,MBA,12:55,12:55
Full,KQ651,KIS,9:10,9:05,KQ654,KIS,9:55,9:55
Full,KQ655,KIS,12:15,12:10,KQ656,KIS,13:05,13:05
Full,KQ657,KIS,15:25,15:23,KQ670,KIS,17:30,17:30
Arr,KQ671,KIS,19:50,19:50,KQ480,DAR,21:14,21:14
Park,KQ671,KIS,21:20,21:20,KQ480,DAR,6:09,6:09
Dep,KQ671,KIS,6:15,6:15,KQ480,DAR,7:45,7:45
Full,KQ671,KIS,19:50,19:58,,,23:59,23:59
Arr,KQ704,LUN,20:30,20:27,KQ250,SEZ,21:54,21:51
Park,KQ704,LUN,22:00,21:57,KQ250,SEZ,9:54,9:54
Dep,KQ704,LUN,10:00,10:00,KQ250,SEZ,11:30,11:30
Full,KQ704,LUN,20:30,20:30,KQ764,JNB,21:50,22:04
Full,KQ717,GBE,6:50,6:58,KQ730,LLW,8:15,8:15
Full,KQ720,HRE,6:50,7:40,KQ604,MBA,10:15,10:23
Full,KQ731,LLW,13:30,13:30,KQ484,DAR,15:55,16:07
Full,KQ749,APL,18:05,18:05,KQ436,JRO,19:20,19:20
Arr,KQ752,BLZ,19:45,19:43,KQ410,EBB,21:09,21:07
Park,KQ752,BLZ,21:15,21:13,KQ410,EBB,6:24,6:24
Dep,KQ752,BLZ,6:30,6:30,KQ410,EBB,8:00,8:00
Full,KQ761,JNB,17:40,17:49,KQ204,BOM,21:25,21:50
Full,KQ763,JNB,21:25,21:16,KQ304,DXB,22:30,22:46
Full,KQ765,JNB,6:55,6:55,KQ602,MBA,8:30,8:30
Full,KQ8603,MBA,12:25,12:30,KQ8606,MBA,14:00,14:00
Full,KQ8607,MBA,16:45,16:53,KQ8608,MBA,19:30,19:30
Arr,KQ8609,MBA,22:15,22:15,KQ8602,MBA,23:39,23:39
Park,KQ8609,MBA,23:45,23:45,KQ8602,MBA,8:04,8:04
Dep,KQ8609,MBA,8:10,8:10,KQ8602,MBA,9:40,9:40
Full,KQ8609,MBA,22:15,22:20,,,23:59,23:59
Full,KQ8651,KIS,8:30,8:12,KQ8690,UKU,9:10,9:20
Arr,KQ8655,KIS,20:00,19:58,KQ8650,KIS,21:24,21:22
Park,KQ8655,KIS,21:30,21:28,KQ8650,KIS,4:54,4:54
Dep,KQ8655,KIS,5:00,5:00,KQ8650,KIS,6:30,6:30
Full,KQ8655,KIS,20:00,19:57,,,23:59,23:59
Full,KQ8661,EDL,9:00,9:00,KQ8680,LAU,9:40,9:40
Arr,KQ8665,EDL,19:10,19:10,KQ8660,EDL,20:34,20:34
Park,KQ8665,EDL,20:40,20:40,KQ8660,EDL,5:24,5:24
Dep,KQ8665,EDL,5:30,5:30,KQ8660,EDL,7:00,7:00
Full,KQ8665,EDL,19:10,19:10,,,23:59,23:59
Full,KQ8681,MYD,13:30,13:40,KQ8654,KIS,18:00,18:00
Full,KQ8691,UKU,11:30,11:14,KQ8692,UKU,14:10,14:16
Full,KQ8693,UKU,16:30,16:21,KQ8664,EDL,17:10,17:10
Arr,KQ887,BKK,6:45,6:37,KQ886,BKK,8:09,8:01
Park,KQ887,BKK,8:15,8:07,KQ886,BKK,21:34,21:34
Dep,KQ887,BKK,21:40,21:40,KQ886,BKK,23:10,23:10
Full,LX294,ZRH,18:40,18:45,LX295,DAR,19:35,19:35
Full,MK534,MRU,11:50,11:47,MK535,MRU,13:05,13:05
Full,MS849,CAI,7:10,7:10,MS850,CAI,8:10,8:10
Full,PW715,ZNZ,21:15,21:05,,,23:59,23:59
Full,PW723,JRO,7:00,6:15,PW722,JRO,8:30,8:30
Arr,PW725,JRO,19:20,19:10,PW710,ZNZ,20:44,20:34
Park,PW725,JRO,20:50,20:40,PW710,ZNZ,6:34,6:34
Dep,PW725,JRO,6:40,6:40,PW710,ZNZ,8:10,8:10
Full,PW725,JRO,19:20,19:20,,,23:59,23:59
Full,PW727,JRO,16:00,15:45,PW726,JRO,16:50,16:50
Full,QR1337,DOH,9:30,9:30,QR1338,DOH,12:35,12:35
Full,QR1339,DOH,13:10,13:10,QR1340,DOH,17:35,17:35
Full,SA184,JNB,15:15,15:20,SA185,JNB,16:05,16:10
Full,SN463,BRU,21:45,21:50,SN463,BRU,22:45,22:45
Full,SV431,JED,11:32,11:32,SV430,JED,13:10,13:10
Full,TK6510,FIH,18:30,18:23,TK6492,IST,21:00,21:00
Full,TM4462,MPM,14:25,14:20,TM4463,MPM,15:45,15:45
Full,WB402,KGL,15:40,15:40,WB403,KGL,16:30,16:30
Full,WB450,EBB,10:40,10:40,WB450,KGL,11:25,11:30
Full,WB460,KGL,20:15,20:15,WB460,EBB,21:35,21:40
Full,,,6:50,6:50,KQ210,BOM,7:50,7:50
Full,,,22:25,22:25,KQ102,LHR,23:25,23:25
Arr,CZ633,CAN,7:00,7:00,CZ634,CAN,8:24,8:24
Park,CZ633,CAN,8:30,8:30,CZ634,CAN,11:59,12:04
Dep,CZ633,CAN,12:05,12:10,CZ634,CAN,13:35,13:40
Full,EK721,DXB,19:00,19:00,EK722,DUB,22:50,22:50
Arr,SA180,JNB,22:40,22:40,SA181,JNB,0:04,0:04
Park,SA180,JNB,0:10,0:10,SA181,JNB,6:54,6:54
Dep,SA180,JNB,7:00,7:00,SA181,JNB,8:30,8:30
Full,TK607,IST,7:25,7:15,TK608,IST,10:35,10:42
Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,BA065,LHR,20:30,20:30,BA064,LHR,23:15,23:20
Full,EK719,DXB,14:30,14:40,EK720,DUB,16:40,17:02
Full,ET302,ADD,10:20,10:20,ET303,ADD,11:35,11:40
Arr,ET304,ADD,12:20,12:20,ET305,ADD,13:44,13:44
Park,ET304,ADD,13:50,13:50,ET305,ADD,15:59,15:59
Dep,ET304,ADD,16:05,16:05,ET305,ADD,17:35,17:35
Full,ET306,ADD,18:15,18:25,ET307,ADD,19:35,19:50
Arr,ET308,ADD,23:40,23:40,ET309,ADD,1:04,1:04
Park,ET308,ADD,1:10,1:10,ET309,ADD,4:24,4:24
Dep,ET308,ADD,4:30,4:30,ET309,ADD,6:00,6:00
Arr,ET308,ADD,23:45,23:45,ET309,ADD,1:09,1:09
Park,ET308,ADD,1:15,1:15,ET309,ADD,4:24,4:24
Dep,ET308,ADD,4:30,4:30,ET309,ADD,6:00,6:00
Full,EY641,AUH,12:47,13:22,EY642,AUH,13:40,13:53
Full,G9734,SHJ,13:06,12:56,G9735,SHJ,13:40,13:45
Full,KL565,AMS,20:25,20:45,KL566,AMS,22:25,22:40
Arr,KQ101,LHR,6:30,6:30,KQ310,DXB,7:54,7:54
Park,KQ101,LHR,8:00,8:00,KQ310,DXB,17:39,17:39
Dep,KQ101,LHR,17:45,17:45,KQ310,DXB,19:15,19:15
Full,KQ117,AMS,6:10,6:10,KQ116,AMS,8:35,8:35
Full,KQ205,BOM,10:30,10:53,KQ704,LUN,12:05,12:05
Full,KQ251,SEZ,18:25,18:33,KQ330,JED,21:30,21:30
Arr,KQ252,HAH,18:25,18:25,,,19:49,19:49
Park,KQ252,HAH,19:55,19:55,,,22:23,22:23
Dep,KQ252,HAH,22:29,22:29,,,23:59,23:59
Arr,KQ257,TNR,20:15,20:10,KQ536,ABV,21:39,21:34
Park,KQ257,TNR,21:45,21:40,KQ536,ABV,6:19,6:19
Dep,KQ257,TNR,6:25,6:25,KQ536,ABV,7:55,7:55
Full,KQ257,TNR,20:15,19:57,KQ708,HRE,23:00,23:00
Arr,KQ311,DXB,6:55,6:55,KQ554,FIH,8:19,8:19
Park,KQ311,DXB,8:25,8:25,KQ554,FIH,10:29,10:36
Dep,KQ311,DXB,10:35,10:42,KQ554,FIH,12:05,12:12
Full,KQ349,KRT,6:35,6:30,KQ402,JIB,8:15,8:15
Full,KQ351,JUB,12:10,11:58,KQ608,MBA,14:15,14:15
Full,KQ353,JUB,18:00,18:10,KQ624,MBA,22:55,22:55
Full,KQ403,ADD,17:30,17:27,KQ416,EBB,19:10,19:10
Full,KQ411,EBB,11:05,11:05,KQ412,EBB,12:00,12:00
Arr,KQ413,EBB,15:05,15:05,,,16:29,16:29
Park,KQ413,EBB,16:35,16:35,,,22:23,22:23
Dep,KQ413,EBB,22:29,22:29,,,23:59,23:59
Full,KQ415,EBB,19:25,19:25,KQ488,DAR,22:55,22:55
Full,KQ417,EBB,22:15,22:09,KQ466,KGL,23:20,23:20
Full,KQ419,EBB,6:35,6:22,KQ432,JRO,8:00,8:00
Arr,KQ433,JRO,10:45,10:45,KQ444,BJM,12:09,12:09
Park,KQ433,JRO,12:15,12:15,KQ444,BJM,14:34,14:34
Dep,KQ433,JRO,14:40,14:40,KQ444,BJM,16:10,16:10
Full,KQ437,JRO,22:00,21:59,,,23:59,23:59
Arr,KQ444,BJM,21:15,21:15,KQ650,KIS,22:39,22:39
Park,KQ444,BJM,22:45,22:45,KQ650,KIS,5:14,5:14
Dep,KQ444,BJM,5:20,5:20,KQ650,KIS,6:50,6:50
Full,KQ444,BJM,21:15,21:10,KQ498,ZNZ,23:00,23:00
Arr,KQ447,KGL,6:05,6:05,KQ748,APL,7:29,7:29
Park,KQ447,KGL,7:35,7:35,KQ748,APL,10:49,11:01
Dep,KQ447,KGL,10:55,11:07,KQ748,APL,12:25,12:37
Arr,KQ448,BJM,12:50,12:50,KQ486,DAR,14:14,14:14
Park,KQ448,BJM,14:20,14:20,KQ486,DAR,17:14,17:14
Dep,KQ448,BJM,17:20,17:20,KQ486,DAR,18:50,18:50
Full,KQ481,DAR,11:10,11:15,KQ586,NLA,12:30,12:30
Full,KQ483,DAR,15:30,15:30,KQ414,EBB,16:20,16:26
Arr,KQ485,DAR,19:20,19:20,KQ448,BJM,20:44,20:44
Park,KQ485,DAR,20:50,20:50,KQ448,BJM,6:09,7:11
Dep,KQ485,DAR,6:15,7:17,KQ448,BJM,7:45,8:47
Full,KQ485,DAR,19:20,19:21,KQ734,LUN,22:45,22:45
Arr,KQ487,DAR,22:15,22:15,KQ256,TNR,23:39,23:39
Park,KQ487,DAR,23:45,23:45,KQ256,TNR,11:09,11:09
Dep,KQ487,DAR,11:15,11:15,KQ256,TNR,12:45,12:45
Full,KQ487,DAR,22:15,22:15,,,23:59,23:59
Full,KQ489,DAR,6:40,6:33,KQ494,ZNZ,8:05,8:05
Full,KQ495,ZNZ,11:15,11:15,KQ482,DAR,12:05,12:05
Full,KQ509,ACC,6:10,6:08,KQ760,JNB,8:30,8:30
Full,KQ521,ABJ,6:20,6:20,KQ504,FNA,10:35,10:35
Full,KQ522,NSI,21:40,21:38,,,23:59,23:59
Arr,KQ524,DLA,18:20,18:20,KQ522,NSI,19:44,19:44
Park,KQ524,DLA,19:50,19:50,KQ522,NSI,9:44,9:44
Dep,KQ524,DLA,9:50,9:50,KQ522,NSI,11:20,11:20
Arr,KQ533,LOS,19:50,19:50,KQ542,COO,21:14,21:14
Park,KQ533,LOS,21:20,21:20,KQ542,COO,6:19,6:19
Dep,KQ533,LOS,6:25,6:25,KQ542,COO,7:55,7:55
Arr,KQ537,ABV,18:25,18:17,,,19:49,19:41
Park,KQ537,ABV,19:55,19:47,,,22:23,22:23
Dep,KQ537,ABV,22:29,22:29,,,23:59,23:59
Full,KQ542,LOS,21:00,21:00,,,23:59,23:59
Full,KQ555,FIH,20:25,20:24,KQ112,CDG,23:05,23:05
Arr,KQ584,FBM,20:05,20:05,KQ252,HAH,21:29,21:29
Park,KQ584,FBM,21:35,21:35,KQ252,HAH,9:54,10:22
Dep,KQ584,FBM,10:00,10:28,KQ252,HAH,11:30,11:58
Full,KQ586,NLA,20:05,19:54,,,23:59,23:59
Arr,KQ601,MBA,9:30,9:25,,,10:54,10:49
Park,KQ601,MBA,11:00,10:55,,,22:23,22:23
Dep,KQ601,MBA,22:29,22:29,,,23:59,23:59
Full,KQ603,MBA,11:10,11:10,KQ762,JNB,12:05,12:15
Full,KQ605,MBA,12:55,12:55,KQ352,JUB,13:40,13:40
Full,KQ607,MBA,15:35,15:30,KQ610,MBA,16:25,16:25
Full,KQ609,MBA,16:55,17:05,KQ616,MBA,18:50,18:50
Full,KQ611,MBA,19:05,19:00,KQ618,MBA,19:50,20:03
Arr,KQ617,MBA,21:30,21:30,KQ600,MBA,22:54,22:54
Park,KQ617,MBA,23:00,23:00,KQ600,MBA,5:14,5:14
Dep,KQ617,MBA,5:20,5:20,KQ600,MBA,6:50,6:50
Full,KQ617,MBA,21:30,21:30,KQ418,EBB,22:55,22:55
Arr,KQ619,MBA,22:40,22:05,KQ350,JUB,0:04,23:29
Park,KQ619,MBA,0:10,23:35,KQ350,JUB,6:14,6:14
Dep,KQ619,MBA,6:20,6:20,KQ350,JUB,7:50,7:50
Full,KQ625,MBA,6:15,6:20,KQ640,MYD,8:55,8:55
Full,KQ641,MYD,11:45,11:45,KQ606,MBA,12:55,12:55
Full,KQ651,KIS,9:10,9:03,KQ654,KIS,9:55,9:55
Full,KQ655,KIS,12:15,12:19,KQ656,KIS,13:05,13:05
Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,KQ657,KIS,15:25,15:10,KQ670,KIS,17:30,17:45
Arr,KQ671,KIS,19:50,19:50,KQ480,DAR,21:14,21:14
Park,KQ671,KIS,21:20,21:20,KQ480,DAR,6:09,6:09
Dep,KQ671,KIS,6:15,6:15,KQ480,DAR,7:45,7:45
Full,KQ671,KIS,19:50,19:30,,,23:59,23:59
Arr,KQ704,LUN,20:30,20:30,KQ250,SEZ,21:54,21:54
Park,KQ704,LUN,22:00,22:00,KQ250,SEZ,9:54,9:54
Dep,KQ704,LUN,10:00,10:00,KQ250,SEZ,11:30,11:30
Full,KQ704,LUN,20:30,20:22,KQ764,JNB,21:50,21:58
Full,KQ717,GBE,6:50,6:50,KQ730,LLW,8:15,8:15
Full,KQ720,HRE,6:50,6:40,KQ604,MBA,10:15,10:15
Full,KQ731,LLW,13:30,13:20,KQ484,DAR,15:55,16:10
Full,KQ749,APL,18:05,17:59,KQ436,JRO,19:20,19:20
Arr,KQ752,BLZ,19:45,19:45,KQ410,EBB,21:09,21:09
Park,KQ752,BLZ,21:15,21:15,KQ410,EBB,6:24,7:00
Dep,KQ752,BLZ,6:30,7:06,KQ410,EBB,8:00,8:36
Full,KQ761,JNB,17:40,17:53,KQ204,BOM,21:25,21:42
Full,KQ763,JNB,21:25,21:40,KQ304,DXB,22:30,22:56
Full,KQ765,JNB,6:55,6:55,KQ602,MBA,8:30,8:30
Full,KQ8603,MBA,12:25,12:39,KQ8606,MBA,14:00,14:10
Full,KQ8607,MBA,16:45,16:45,KQ8608,MBA,19:30,19:30
Arr,KQ8609,MBA,22:15,22:15,KQ8602,MBA,23:39,23:39
Park,KQ8609,MBA,23:45,23:45,KQ8602,MBA,8:04,8:04
Dep,KQ8609,MBA,8:10,8:10,KQ8602,MBA,9:40,9:40
Full,KQ8609,MBA,22:15,22:15,,,23:59,23:59
Full,KQ8651,KIS,8:30,8:40,KQ8690,UKU,9:10,9:10
Arr,KQ8655,KIS,20:00,19:59,KQ8650,KIS,21:24,21:23
Park,KQ8655,KIS,21:30,21:29,KQ8650,KIS,4:54,4:54
Dep,KQ8655,KIS,5:00,5:00,KQ8650,KIS,6:30,6:30
Full,KQ8655,KIS,20:00,19:50,,,23:59,23:59
Full,KQ8661,EDL,9:00,9:05,KQ8680,LAU,9:40,9:40
Arr,KQ8665,EDL,19:10,19:10,KQ8660,EDL,20:34,20:34
Park,KQ8665,EDL,20:40,20:40,KQ8660,EDL,5:24,5:24
Dep,KQ8665,EDL,5:30,5:30,KQ8660,EDL,7:00,7:00
Full,KQ8665,EDL,19:10,19:18,,,23:59,23:59
Full,KQ8681,MYD,13:30,13:37,KQ8654,KIS,18:00,18:00
Full,KQ8691,UKU,11:30,11:24,KQ8692,UKU,14:10,14:10
Full,KQ8693,UKU,16:30,16:32,KQ8664,EDL,17:10,17:10
Arr,KQ887,BKK,6:45,6:45,KQ886,BKK,8:09,8:09
Park,KQ887,BKK,8:15,8:15,KQ886,BKK,21:34,21:53
Dep,KQ887,BKK,21:40,21:59,KQ886,BKK,23:10,23:29
Full,LX294,ZRH,18:40,18:45,LX295,DAR,19:35,19:40
Full,MK534,MRU,11:50,12:20,MK535,MRU,13:05,13:31
Full,MS849,CAI,7:10,7:20,MS850,CAI,8:10,8:20
Full,PW715,ZNZ,21:15,21:00,,,23:59,23:59
Full,PW723,JRO,7:00,6:09,PW722,JRO,8:30,8:40
Arr,PW725,JRO,19:20,19:20,PW710,ZNZ,20:44,20:44
Park,PW725,JRO,20:50,20:50,PW710,ZNZ,6:34,6:34
Dep,PW725,JRO,6:40,6:40,PW710,ZNZ,8:10,8:10
Full,PW725,JRO,19:20,19:15,,,23:59,23:59
Full,PW727,JRO,16:00,15:50,PW726,JRO,16:50,16:50
Full,QR1337,DOH,9:30,9:35,QR1338,DOH,12:35,12:40
Full,QR1339,DOH,13:10,13:10,QR1340,DOH,17:35,17:40
Full,SA184,JNB,15:15,15:15,SA185,JNB,16:05,16:10
Full,SN463,BRU,21:45,21:45,SN463,BRU,22:45,22:45
Full,SV431,JED,11:32,11:42,SV430,JED,13:10,13:40
Full,TK6510,FIH,18:30,18:11,TK6492,IST,21:00,21:10
Full,TM4462,MPM,14:25,14:20,TM4463,MPM,15:45,15:45
Full,WB402,KGL,15:40,15:39,WB403,KGL,16:30,16:30
Full,WB450,EBB,10:40,10:40,WB450,KGL,11:25,11:30
Full,WB460,KGL,20:15,20:20,WB460,EBB,21:35,21:40
Full,,,6:50,6:50,KQ210,BOM,7:50,8:06
Full,,,22:25,22:25,KQ102,LHR,23:25,23:25
Arr,CZ633,CAN,7:00,7:00,CZ634,CAN,8:24,8:24
Park,CZ633,CAN,8:30,8:30,CZ634,CAN,11:59,11:59
Dep,CZ633,CAN,12:05,12:05,CZ634,CAN,13:35,13:35
Full,EK721,DXB,19:00,19:00,EK722,DUB,22:50,22:50
Arr,SA180,JNB,22:40,22:40,SA181,JNB,0:04,0:04
Park,SA180,JNB,0:10,0:10,SA181,JNB,6:54,6:54
Dep,SA180,JNB,7:00,7:00,SA181,JNB,8:30,8:30
Full,TK607,IST,7:25,7:25,TK608,IST,10:35,10:35
