Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,BA065,LHR,20:30,21:00,BA064,LHR,23:15,23:25
Full,EK719,DXB,14:30,14:30,EK720,DUB,16:40,16:40
Full,ET302,ADD,10:20,10:20,ET303,ADD,11:35,11:35
Arr,ET304,ADD,12:20,12:20,ET305,ADD,13:44,13:44
Park,ET304,ADD,13:50,13:50,ET305,ADD,15:59,15:59
Dep,ET304,ADD,16:05,16:05,ET305,ADD,17:35,17:35
Full,ET306,ADD,18:15,18:20,ET307,ADD,19:35,19:40
Arr,ET308,ADD,23:40,23:40,ET309,ADD,1:04,1:04
Park,ET308,ADD,1:10,1:10,ET309,ADD,4:24,4:24
Dep,ET308,ADD,4:30,4:30,ET309,ADD,6:00,6:00
Arr,ET308,ADD,23:45,23:45,ET309,ADD,1:09,1:09
Park,ET308,ADD,1:15,1:15,ET309,ADD,4:24,4:24
Dep,ET308,ADD,4:30,4:30,ET309,ADD,6:00,6:00
Full,EY641,AUH,12:47,12:40,EY642,AUH,13:40,13:40
Full,G9734,SHJ,13:06,13:25,G9735,SHJ,13:40,14:15
Full,KL565,AMS,20:25,20:45,KL566,AMS,22:25,22:35
Arr,KQ101,LHR,6:30,6:30,KQ310,DXB,7:54,7:54
Park,KQ101,LHR,8:00,8:00,KQ310,DXB,17:39,17:39
Dep,KQ101,LHR,17:45,17:45,KQ310,DXB,19:15,19:15
Full,KQ117,AMS,6:10,6:10,KQ116,AMS,8:35,8:35
Full,KQ205,BOM,10:30,11:29,KQ704,LUN,12:05,12:20
Full,KQ251,SEZ,18:25,19:26,KQ330,JED,21:30,21:38
Arr,KQ252,HAH,18:25,18:25,,,19:49,19:49
Park,KQ252,HAH,19:55,19:55,,,22:23,22:23
Dep,KQ252,HAH,22:29,22:29,,,23:59,23:59
Arr,KQ257,TNR,20:15,20:07,KQ536,ABV,21:39,21:31
Park,KQ257,TNR,21:45,21:37,KQ536,ABV,6:19,6:19
Dep,KQ257,TNR,6:25,6:25,KQ536,ABV,7:55,7:55
Full,KQ257,TNR,20:15,20:15,KQ708,HRE,23:00,23:00
Arr,KQ311,DXB,6:55,6:55,KQ554,FIH,8:19,8:19
Park,KQ311,DXB,8:25,8:25,KQ554,FIH,10:29,10:29
Dep,KQ311,DXB,10:35,10:35,KQ554,FIH,12:05,12:05
Full,KQ349,KRT,6:35,6:10,KQ402,JIB,8:15,8:15
Full,KQ351,JUB,12:10,12:05,KQ608,MBA,14:15,14:15
Full,KQ353,JUB,18:00,18:00,KQ624,MBA,22:55,22:55
Full,KQ403,ADD,17:30,17:30,KQ416,EBB,19:10,19:10
Full,KQ411,EBB,11:05,11:14,KQ412,EBB,12:00,12:06
Arr,KQ413,EBB,15:05,15:05,,,16:29,16:29
Park,KQ413,EBB,16:35,16:35,,,22:23,22:23
Dep,KQ413,EBB,22:29,22:29,,,23:59,23:59
Full,KQ415,EBB,19:25,19:35,KQ488,DAR,22:55,22:55
Full,KQ417,EBB,22:15,21:33,KQ466,KGL,23:20,23:57
Full,KQ419,EBB,6:35,6:30,KQ432,JRO,8:00,8:00
Arr,KQ433,JRO,10:45,10:45,KQ444,BJM,12:09,12:09
Park,KQ433,JRO,12:15,12:15,KQ444,BJM,14:34,14:34
Dep,KQ433,JRO,14:40,14:40,KQ444,BJM,16:10,16:10
Full,KQ437,JRO,22:00,22:00,,,23:59,23:59
Arr,KQ444,BJM,21:15,21:15,KQ650,KIS,22:39,22:39
Park,KQ444,BJM,22:45,22:45,KQ650,KIS,5:14,5:14
Dep,KQ444,BJM,5:20,5:20,KQ650,KIS,6:50,6:50
Full,KQ444,BJM,21:15,21:25,KQ498,ZNZ,23:00,23:00
Arr,KQ447,KGL,6:05,6:05,KQ748,APL,7:29,7:29
Park,KQ447,KGL,7:35,7:35,KQ748,APL,10:49,12:04
Dep,KQ447,KGL,10:55,12:10,KQ748,APL,12:25,13:40
Arr,KQ448,BJM,12:50,12:32,KQ486,DAR,14:14,13:56
Park,KQ448,BJM,14:20,14:02,KQ486,DAR,17:14,18:08
Dep,KQ448,BJM,17:20,18:14,KQ486,DAR,18:50,19:44
Full,KQ481,DAR,11:10,11:08,KQ586,NLA,12:30,12:32
Full,KQ483,DAR,15:30,15:25,KQ414,EBB,16:20,16:25
Arr,KQ485,DAR,19:20,19:20,KQ448,BJM,20:44,20:44
Park,KQ485,DAR,20:50,20:50,KQ448,BJM,6:09,6:09
Dep,KQ485,DAR,6:15,6:15,KQ448,BJM,7:45,7:45
Full,KQ485,DAR,19:20,19:33,KQ734,LUN,22:45,22:45
Arr,KQ487,DAR,22:15,22:13,KQ256,TNR,23:39,23:37
Park,KQ487,DAR,23:45,23:43,KQ256,TNR,11:09,12:19
Dep,KQ487,DAR,11:15,12:25,KQ256,TNR,12:45,13:55
Full,KQ487,DAR,22:15,22:15,,,23:59,23:59
Full,KQ489,DAR,6:40,6:30,KQ494,ZNZ,8:05,8:05
Full,KQ495,ZNZ,11:15,10:28,KQ482,DAR,12:05,12:12
Full,KQ509,ACC,6:10,6:08,KQ760,JNB,8:30,8:35
Full,KQ521,ABJ,6:20,6:20,KQ504,FNA,10:35,10:35
Full,KQ522,NSI,21:40,21:40,,,23:59,23:59
Arr,KQ524,DLA,18:20,18:20,KQ522,NSI,19:44,19:44
Park,KQ524,DLA,19:50,19:50,KQ522,NSI,9:44,9:44
Dep,KQ524,DLA,9:50,9:50,KQ522,NSI,11:20,11:20
Arr,KQ533,LOS,19:50,19:50,KQ542,COO,21:14,21:14
Park,KQ533,LOS,21:20,21:20,KQ542,COO,6:19,6:20
Dep,KQ533,LOS,6:25,6:26,KQ542,COO,7:55,7:56
Arr,KQ537,ABV,18:25,18:15,,,19:49,19:39
Park,KQ537,ABV,19:55,19:45,,,22:23,22:23
Dep,KQ537,ABV,22:29,22:29,,,23:59,23:59
Full,KQ542,LOS,21:00,21:00,,,23:59,23:59
Full,KQ555,FIH,20:25,19:57,KQ112,CDG,23:05,23:25
Arr,KQ584,FBM,20:05,20:05,KQ252,HAH,21:29,21:29
Park,KQ584,FBM,21:35,21:35,KQ252,HAH,9:54,10:49
Dep,KQ584,FBM,10:00,10:55,KQ252,HAH,11:30,12:25
Full,KQ586,NLA,20:05,20:07,,,23:59,23:59
Arr,KQ601,MBA,9:30,9:30,,,10:54,10:54
Park,KQ601,MBA,11:00,11:00,,,22:23,22:23
Dep,KQ601,MBA,22:29,22:29,,,23:59,23:59
Full,KQ603,MBA,11:10,11:10,KQ762,JNB,12:05,12:05
Full,KQ605,MBA,12:55,12:55,KQ352,JUB,13:40,13:40
Full,KQ607,MBA,15:35,15:40,KQ610,MBA,16:25,16:25
Full,KQ609,MBA,16:55,16:50,KQ616,MBA,18:50,18:54
Full,KQ611,MBA,19:05,19:05,KQ618,MBA,19:50,19:50
Arr,KQ617,MBA,21:30,21:30,KQ600,MBA,22:54,22:54
Park,KQ617,MBA,23:00,23:00,KQ600,MBA,5:14,5:14
Dep,KQ617,MBA,5:20,5:20,KQ600,MBA,6:50,6:50
Full,KQ617,MBA,21:30,21:30,KQ418,EBB,22:55,22:55
Arr,KQ619,MBA,22:40,22:40,KQ350,JUB,0:04,0:04
Park,KQ619,MBA,0:10,0:10,KQ350,JUB,6:14,6:14
Dep,KQ619,MBA,6:20,6:20,KQ350,JUB,7:50,7:50
Full,KQ625,MBA,6:15,6:05,KQ640,MYD,8:55,8:55
Full,KQ641,MYD,11:45,11:40,KQ606,MBA,12:55,12:55
Full,KQ651,KIS,9:10,9:02,KQ654,KIS,9:55,9:55
Full,KQ655,KIS,12:15,12:08,KQ656,KIS,13:05,13:05
Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,KQ657,KIS,15:25,15:23,KQ670,KIS,17:30,17:30
Arr,KQ671,KIS,19:50,19:50,KQ480,DAR,21:14,21:14
Park,KQ671,KIS,21:20,21:20,KQ480,DAR,6:09,6:09
Dep,KQ671,KIS,6:15,6:15,KQ480,DAR,7:45,7:45
Full,KQ671,KIS,19:50,19:50,,,23:59,23:59
Arr,KQ704,LUN,20:30,19:40,KQ250,SEZ,21:54,21:04
Park,KQ704,LUN,22:00,21:10,KQ250,SEZ,9:54,11:22
Dep,KQ704,LUN,10:00,11:28,KQ250,SEZ,11:30,12:58
Full,KQ704,LUN,20:30,21:50,KQ764,JNB,21:50,22:55
Full,KQ717,GBE,6:50,7:45,KQ730,LLW,8:15,8:23
Full,KQ720,HRE,6:50,6:50,KQ604,MBA,10:15,10:15
Full,KQ731,LLW,13:30,13:30,KQ484,DAR,15:55,15:55
Full,KQ749,APL,18:05,18:13,KQ436,JRO,19:20,19:20
Arr,KQ752,BLZ,19:45,18:42,KQ410,EBB,21:09,20:06
Park,KQ752,BLZ,21:15,20:12,KQ410,EBB,6:24,6:24
Dep,KQ752,BLZ,6:30,6:30,KQ410,EBB,8:00,8:00
Full,KQ761,JNB,17:40,17:40,KQ204,BOM,21:25,21:55
Full,KQ763,JNB,21:25,21:30,KQ304,DXB,22:30,22:30
Full,KQ765,JNB,6:55,7:02,KQ602,MBA,8:30,8:30
Full,KQ8603,MBA,12:25,12:16,KQ8606,MBA,14:00,14:00
Full,KQ8607,MBA,16:45,16:40,KQ8608,MBA,19:30,19:30
Arr,KQ8609,MBA,22:15,22:15,KQ8602,MBA,23:39,23:39
Park,KQ8609,MBA,23:45,23:45,KQ8602,MBA,8:04,8:04
Dep,KQ8609,MBA,8:10,8:10,KQ8602,MBA,9:40,9:40
Full,KQ8609,MBA,22:15,22:05,,,23:59,23:59
Full,KQ8651,KIS,8:30,8:34,KQ8690,UKU,9:10,9:10
Arr,KQ8655,KIS,20:00,20:00,KQ8650,KIS,21:24,21:24
Park,KQ8655,KIS,21:30,21:30,KQ8650,KIS,4:54,4:54
Dep,KQ8655,KIS,5:00,5:00,KQ8650,KIS,6:30,6:30
Full,KQ8655,KIS,20:00,19:54,,,23:59,23:59
Full,KQ8661,EDL,9:00,9:00,KQ8680,LAU,9:40,9:40
Arr,KQ8665,EDL,19:10,19:10,KQ8660,EDL,20:34,20:34
Park,KQ8665,EDL,20:40,20:40,KQ8660,EDL,5:24,5:24
Dep,KQ8665,EDL,5:30,5:30,KQ8660,EDL,7:00,7:00
Full,KQ8665,EDL,19:10,18:18,,,23:59,23:59
Full,KQ8681,MYD,13:30,13:25,KQ8654,KIS,18:00,18:00
Full,KQ8691,UKU,11:30,12:55,KQ8692,UKU,14:10,14:10
Full,KQ8693,UKU,16:30,16:29,KQ8664,EDL,17:10,17:10
Arr,KQ887,BKK,6:45,6:45,KQ886,BKK,8:09,8:09
Park,KQ887,BKK,8:15,8:15,KQ886,BKK,21:34,22:08
Dep,KQ887,BKK,21:40,22:14,KQ886,BKK,23:10,23:44
Full,LX294,ZRH,18:40,18:50,LX295,DAR,19:35,19:50
Full,MK534,MRU,11:50,11:43,MK535,MRU,13:05,13:05
Full,MS849,CAI,7:10,7:15,MS850,CAI,8:10,8:10
Full,PW715,ZNZ,21:15,22:20,,,23:59,23:59
Full,PW723,JRO,7:00,6:05,PW722,JRO,8:30,8:30
Arr,PW725,JRO,19:20,19:15,PW710,ZNZ,20:44,20:39
Park,PW725,JRO,20:50,20:45,PW710,ZNZ,6:34,6:34
Dep,PW725,JRO,6:40,6:40,PW710,ZNZ,8:10,8:10
Full,PW725,JRO,19:20,18:19,,,23:59,23:59
Full,PW727,JRO,16:00,15:51,PW726,JRO,16:50,16:50
Full,QR1337,DOH,9:30,10:00,QR1338,DOH,12:35,12:45
Full,QR1339,DOH,13:10,13:10,QR1340,DOH,17:35,17:35
Full,SA184,JNB,15:15,15:25,SA185,JNB,16:05,16:20
Full,SN463,BRU,21:45,21:55,SN463,BRU,22:45,22:55
Full,SV431,JED,11:32,11:32,SV430,JED,13:10,13:10
Full,TK6510,FIH,18:30,18:20,TK6492,IST,21:00,21:10
Full,TM4462,MPM,14:25,14:20,TM4463,MPM,15:45,15:45
Full,WB402,KGL,15:40,15:37,WB403,KGL,16:30,16:30
Full,WB450,EBB,10:40,10:40,WB450,KGL,11:25,11:25
Full,WB460,KGL,20:15,20:20,WB460,EBB,21:35,21:35
Full,,,6:50,6:50,KQ210,BOM,7:50,8:55
Full,,,22:25,22:25,KQ102,LHR,23:25,23:37
Arr,CZ633,CAN,7:00,7:00,CZ634,CAN,8:24,8:24
Park,CZ633,CAN,8:30,8:30,CZ634,CAN,11:59,12:09
Dep,CZ633,CAN,12:05,12:15,CZ634,CAN,13:35,13:45
Full,EK721,DXB,19:00,19:05,EK722,DUB,22:50,22:50
Arr,SA180,JNB,22:40,22:40,SA181,JNB,0:04,0:04
Park,SA180,JNB,0:10,0:10,SA181,JNB,6:54,6:59
Dep,SA180,JNB,7:00,7:05,SA181,JNB,8:30,8:35
Full,TK607,IST,7:25,7:31,TK608,IST,10:35,10:35
Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,BA065,LHR,20:30,20:45,BA064,LHR,23:15,23:25
Full,EK719,DXB,14:30,14:40,EK720,DUB,16:40,17:40
Full,ET302,ADD,10:20,10:20,ET303,ADD,11:35,11:40
Arr,ET304,ADD,12:20,12:20,ET305,ADD,13:44,13:44
Park,ET304,ADD,13:50,13:50,ET305,ADD,15:59,16:00
Dep,ET304,ADD,16:05,16:06,ET305,ADD,17:35,17:36
Full,ET306,ADD,18:15,18:20,ET307,ADD,19:35,19:40
Arr,ET308,ADD,23:40,23:40,ET309,ADD,1:04,1:04
Park,ET308,ADD,1:10,1:10,ET309,ADD,4:24,4:29
Dep,ET308,ADD,4:30,4:35,ET309,ADD,6:00,6:05
Arr,ET308,ADD,23:45,23:45,ET309,ADD,1:09,1:09
Park,ET308,ADD,1:15,1:15,ET309,ADD,4:24,4:39
Dep,ET308,ADD,4:30,4:45,ET309,ADD,6:00,6:15
Full,EY641,AUH,12:47,12:37,EY642,AUH,13:40,13:40
Full,G9734,SHJ,13:06,12:16,G9735,SHJ,13:40,13:50
Full,KL565,AMS,20:25,20:55,KL566,AMS,22:25,22:55
Arr,KQ101,LHR,6:30,6:30,KQ310,DXB,7:54,7:54
Park,KQ101,LHR,8:00,8:00,KQ310,DXB,17:39,17:39
Dep,KQ101,LHR,17:45,17:45,KQ310,DXB,19:15,19:15
Full,KQ117,AMS,6:10,6:10,KQ116,AMS,8:35,8:42
Full,KQ205,BOM,10:30,10:29,KQ704,LUN,12:05,12:05
Full,KQ251,SEZ,18:25,18:25,KQ330,JED,21:30,21:30
Arr,KQ252,HAH,18:25,18:25,,,19:49,19:49
Park,KQ252,HAH,19:55,19:55,,,22:23,22:23
Dep,KQ252,HAH,22:29,22:29,,,23:59,23:59
Arr,KQ257,TNR,20:15,19:59,KQ536,ABV,21:39,21:23
Park,KQ257,TNR,21:45,21:29,KQ536,ABV,6:19,6:19
Dep,KQ257,TNR,6:25,6:25,KQ536,ABV,7:55,7:55
Full,KQ257,TNR,20:15,20:07,KQ708,HRE,23:00,23:00
Arr,KQ311,DXB,6:55,6:42,KQ554,FIH,8:19,8:06
Park,KQ311,DXB,8:25,8:12,KQ554,FIH,10:29,11:46
Dep,KQ311,DXB,10:35,11:52,KQ554,FIH,12:05,13:22
Full,KQ349,KRT,6:35,6:35,KQ402,JIB,8:15,8:15
Full,KQ351,JUB,12:10,12:03,KQ608,MBA,14:15,14:15
Full,KQ353,JUB,18:00,17:56,KQ624,MBA,22:55,22:55
Full,KQ403,ADD,17:30,17:25,KQ416,EBB,19:10,19:10
Full,KQ411,EBB,11:05,12:02,KQ412,EBB,12:00,12:48
Arr,KQ413,EBB,15:05,15:05,,,16:29,16:29
Park,KQ413,EBB,16:35,16:35,,,22:23,22:23
Dep,KQ413,EBB,22:29,22:29,,,23:59,23:59
Full,KQ415,EBB,19:25,19:17,KQ488,DAR,22:55,22:55
Full,KQ417,EBB,22:15,21:25,KQ466,KGL,23:20,23:30
Full,KQ419,EBB,6:35,5:29,KQ432,JRO,8:00,8:00
Arr,KQ433,JRO,10:45,10:42,KQ444,BJM,12:09,12:06
Park,KQ433,JRO,12:15,12:12,KQ444,BJM,14:34,14:34
Dep,KQ433,JRO,14:40,14:40,KQ444,BJM,16:10,16:10
Full,KQ437,JRO,22:00,21:04,,,23:59,23:59
Arr,KQ444,BJM,21:15,21:02,KQ650,KIS,22:39,22:26
Park,KQ444,BJM,22:45,22:32,KQ650,KIS,5:14,5:14
Dep,KQ444,BJM,5:20,5:20,KQ650,KIS,6:50,6:50
Full,KQ444,BJM,21:15,21:10,KQ498,ZNZ,23:00,23:00
Arr,KQ447,KGL,6:05,6:05,KQ748,APL,7:29,7:29
Park,KQ447,KGL,7:35,7:35,KQ748,APL,10:49,10:59
Dep,KQ447,KGL,10:55,11:05,KQ748,APL,12:25,12:35
Arr,KQ448,BJM,12:50,12:36,KQ486,DAR,14:14,14:00
Park,KQ448,BJM,14:20,14:06,KQ486,DAR,17:14,18:35
Dep,KQ448,BJM,17:20,18:41,KQ486,DAR,18:50,20:11
Full,KQ481,DAR,11:10,11:20,KQ586,NLA,12:30,12:30
Full,KQ483,DAR,15:30,15:23,KQ414,EBB,16:20,16:20
Arr,KQ485,DAR,19:20,19:20,KQ448,BJM,20:44,20:44
Park,KQ485,DAR,20:50,20:50,KQ448,BJM,6:09,6:09
Dep,KQ485,DAR,6:15,6:15,KQ448,BJM,7:45,7:45
Full,KQ485,DAR,19:20,19:20,KQ734,LUN,22:45,22:45
Arr,KQ487,DAR,22:15,22:10,KQ256,TNR,23:39,23:34
Park,KQ487,DAR,23:45,23:40,KQ256,TNR,11:09,11:35
Dep,KQ487,DAR,11:15,11:41,KQ256,TNR,12:45,13:11
Full,KQ487,DAR,22:15,22:18,,,23:59,23:59
Full,KQ489,DAR,6:40,6:27,KQ494,ZNZ,8:05,8:20
Full,KQ495,ZNZ,11:15,11:15,KQ482,DAR,12:05,12:05
Full,KQ509,ACC,6:10,6:08,KQ760,JNB,8:30,8:38
Full,KQ521,ABJ,6:20,6:39,KQ504,FNA,10:35,10:35
Full,KQ522,NSI,21:40,22:00,,,23:59,23:59
Arr,KQ524,DLA,18:20,18:20,KQ522,NSI,19:44,19:44
Park,KQ524,DLA,19:50,19:50,KQ522,NSI,9:44,9:44
Dep,KQ524,DLA,9:50,9:50,KQ522,NSI,11:20,11:20
Arr,KQ533,LOS,19:50,19:40,KQ542,COO,21:14,21:04
Park,KQ533,LOS,21:20,21:10,KQ542,COO,6:19,6:34
Dep,KQ533,LOS,6:25,6:40,KQ542,COO,7:55,8:10
Arr,KQ537,ABV,18:25,16:57,,,19:49,18:21
Park,KQ537,ABV,19:55,18:27,,,22:23,22:23
Dep,KQ537,ABV,22:29,22:29,,,23:59,23:59
Full,KQ542,LOS,21:00,21:20,,,23:59,23:59
Full,KQ555,FIH,20:25,20:24,KQ112,CDG,23:05,23:14
Arr,KQ584,FBM,20:05,20:05,KQ252,HAH,21:29,21:29
Park,KQ584,FBM,21:35,21:35,KQ252,HAH,9:54,11:34
Dep,KQ584,FBM,10:00,11:40,KQ252,HAH,11:30,13:10
Full,KQ586,NLA,20:05,19:35,,,23:59,23:59
Arr,KQ601,MBA,9:30,9:25,,,10:54,10:49
Park,KQ601,MBA,11:00,10:55,,,22:23,22:23
Dep,KQ601,MBA,22:29,22:29,,,23:59,23:59
Full,KQ603,MBA,11:10,11:05,KQ762,JNB,12:05,12:05
Full,KQ605,MBA,12:55,13:00,KQ352,JUB,13:40,13:40
Full,KQ607,MBA,15:35,15:40,KQ610,MBA,16:25,16:30
Full,KQ609,MBA,16:55,16:42,KQ616,MBA,18:50,20:06
Full,KQ611,MBA,19:05,19:05,KQ618,MBA,19:50,19:50
Arr,KQ617,MBA,21:30,21:30,KQ600,MBA,22:54,22:54
Park,KQ617,MBA,23:00,23:00,KQ600,MBA,5:14,5:20
Dep,KQ617,MBA,5:20,5:26,KQ600,MBA,6:50,6:56
Full,KQ617,MBA,21:30,21:30,KQ418,EBB,22:55,22:55
Arr,KQ619,MBA,22:40,22:30,KQ350,JUB,0:04,23:54
Park,KQ619,MBA,0:10,0:00,KQ350,JUB,6:14,7:04
Dep,KQ619,MBA,6:20,7:10,KQ350,JUB,7:50,8:40
Full,KQ625,MBA,6:15,6:20,KQ640,MYD,8:55,8:55
Full,KQ641,MYD,11:45,11:40,KQ606,MBA,12:55,12:55
Full,KQ651,KIS,9:10,9:10,KQ654,KIS,9:55,9:55
Full,KQ655,KIS,12:15,12:00,KQ656,KIS,13:05,13:38
Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,KQ657,KIS,15:25,15:17,KQ670,KIS,17:30,17:30
Arr,KQ671,KIS,19:50,19:50,KQ480,DAR,21:14,21:14
Park,KQ671,KIS,21:20,21:20,KQ480,DAR,6:09,6:09
Dep,KQ671,KIS,6:15,6:15,KQ480,DAR,7:45,7:45
Full,KQ671,KIS,19:50,19:05,,,23:59,23:59
Arr,KQ704,LUN,20:30,20:30,KQ250,SEZ,21:54,21:54
Park,KQ704,LUN,22:00,22:00,KQ250,SEZ,9:54,9:54
Dep,KQ704,LUN,10:00,10:00,KQ250,SEZ,11:30,11:30
Full,KQ704,LUN,20:30,20:29,KQ764,JNB,21:50,21:50
Full,KQ717,GBE,6:50,8:20,KQ730,LLW,8:15,8:50
Full,KQ720,HRE,6:50,6:41,KQ604,MBA,10:15,10:15
Full,KQ731,LLW,13:30,13:30,KQ484,DAR,15:55,15:55
Full,KQ749,APL,18:05,18:15,KQ436,JRO,19:20,19:20
Arr,KQ752,BLZ,19:45,18:41,KQ410,EBB,21:09,20:05
Park,KQ752,BLZ,21:15,20:11,KQ410,EBB,6:24,6:38
Dep,KQ752,BLZ,6:30,6:44,KQ410,EBB,8:00,8:14
Full,KQ761,JNB,17:40,17:49,KQ204,BOM,21:25,21:25
Full,KQ763,JNB,21:25,21:16,KQ304,DXB,22:30,22:49
Full,KQ765,JNB,6:55,7:02,KQ602,MBA,8:30,8:30
Full,KQ8603,MBA,12:25,12:25,KQ8606,MBA,14:00,14:00
Full,KQ8607,MBA,16:45,16:25,KQ8608,MBA,19:30,19:38
Arr,KQ8609,MBA,22:15,22:10,KQ8602,MBA,23:39,23:34
Park,KQ8609,MBA,23:45,23:40,KQ8602,MBA,8:04,8:04
Dep,KQ8609,MBA,8:10,8:10,KQ8602,MBA,9:40,9:40
Full,KQ8609,MBA,22:15,22:29,,,23:59,23:59
Full,KQ8651,KIS,8:30,8:45,KQ8690,UKU,9:10,9:34
Arr,KQ8655,KIS,20:00,19:58,KQ8650,KIS,21:24,21:22
Park,KQ8655,KIS,21:30,21:28,KQ8650,KIS,4:54,4:54
Dep,KQ8655,KIS,5:00,5:00,KQ8650,KIS,6:30,6:30
Full,KQ8655,KIS,20:00,20:15,,,23:59,23:59
Full,KQ8661,EDL,9:00,9:05,KQ8680,LAU,9:40,9:40
Arr,KQ8665,EDL,19:10,18:16,KQ8660,EDL,20:34,19:40
Park,KQ8665,EDL,20:40,19:46,KQ8660,EDL,5:24,5:24
Dep,KQ8665,EDL,5:30,5:30,KQ8660,EDL,7:00,7:00
Full,KQ8665,EDL,19:10,19:08,,,23:59,23:59
Full,KQ8681,MYD,13:30,13:41,KQ8654,KIS,18:00,18:00
Full,KQ8691,UKU,11:30,11:53,KQ8692,UKU,14:10,14:20
Full,KQ8693,UKU,16:30,16:19,KQ8664,EDL,17:10,17:10
Arr,KQ887,BKK,6:45,6:45,KQ886,BKK,8:09,8:09
Park,KQ887,BKK,8:15,8:15,KQ886,BKK,21:34,21:49
Dep,KQ887,BKK,21:40,21:55,KQ886,BKK,23:10,23:25
Full,LX294,ZRH,18:40,18:50,LX295,DAR,19:35,19:50
Full,MK534,MRU,11:50,11:50,MK535,MRU,13:05,13:13
Full,MS849,CAI,7:10,7:15,MS850,CAI,8:10,8:15
Full,PW715,ZNZ,21:15,20:45,,,23:59,23:59
Full,PW723,JRO,7:00,6:09,PW722,JRO,8:30,8:38
Arr,PW725,JRO,19:20,19:10,PW710,ZNZ,20:44,20:34
Park,PW725,JRO,20:50,20:40,PW710,ZNZ,6:34,6:34
Dep,PW725,JRO,6:40,6:40,PW710,ZNZ,8:10,8:10
Full,PW725,JRO,19:20,19:15,,,23:59,23:59
Full,PW727,JRO,16:00,15:50,PW726,JRO,16:50,16:50
Full,QR1337,DOH,9:30,9:45,QR1338,DOH,12:35,12:55
Full,QR1339,DOH,13:10,13:20,QR1340,DOH,17:35,17:45
Full,SA184,JNB,15:15,15:30,SA185,JNB,16:05,16:35
Full,SN463,BRU,21:45,21:50,SN463,BRU,22:45,22:45
Full,SV431,JED,11:32,11:37,SV430,JED,13:10,13:15
Full,TK6510,FIH,18:30,18:28,TK6492,IST,21:00,21:00
Full,TM4462,MPM,14:25,14:20,TM4463,MPM,15:45,15:45
Full,WB402,KGL,15:40,15:54,WB403,KGL,16:30,16:30
Full,WB450,EBB,10:40,10:50,WB450,KGL,11:25,11:55
Full,WB460,KGL,20:15,20:30,WB460,EBB,21:35,21:55
Full,,,6:50,6:50,KQ210,BOM,7:50,7:50
Full,,,22:25,22:25,KQ102,LHR,23:25,23:25
Arr,CZ633,CAN,7:00,7:00,CZ634,CAN,8:24,8:24
Park,CZ633,CAN,8:30,8:30,CZ634,CAN,11:59,12:09
Dep,CZ633,CAN,12:05,12:15,CZ634,CAN,13:35,13:45
Full,EK721,DXB,19:00,19:10,EK722,DUB,22:50,23:00
Arr,SA180,JNB,22:40,22:40,SA181,JNB,0:04,0:04
Park,SA180,JNB,0:10,0:10,SA181,JNB,6:54,6:54
Dep,SA180,JNB,7:00,7:00,SA181,JNB,8:30,8:30
Full,TK607,IST,7:25,7:25,TK608,IST,10:35,10:35
