Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,BA065,LHR,20:30,20:30,BA064,LHR,23:15,23:15
Full,EK719,DXB,14:30,14:50,EK720,DUB,16:40,17:02
Full,ET302,ADD,10:20,10:50,ET303,ADD,11:35,11:45
Arr,ET304,ADD,12:20,12:20,ET305,ADD,13:44,13:44
Park,ET304,ADD,13:50,13:50,ET305,ADD,15:59,16:12
Dep,ET304,ADD,16:05,16:18,ET305,ADD,17:35,17:48
Full,ET306,ADD,18:15,18:15,ET307,ADD,19:35,19:40
Arr,ET308,ADD,23:40,23:40,ET309,ADD,1:04,1:04
Park,ET308,ADD,1:10,1:10,ET309,ADD,4:24,4:29
Dep,ET308,ADD,4:30,4:35,ET309,ADD,6:00,6:05
Arr,ET308,ADD,23:45,23:45,ET309,ADD,1:09,1:09
Park,ET308,ADD,1:15,1:15,ET309,ADD,4:24,4:54
Dep,ET308,ADD,4:30,5:00,ET309,ADD,6:00,6:30
Full,EY641,AUH,12:47,13:15,EY642,AUH,13:40,14:10
Full,G9734,SHJ,13:06,13:51,G9735,SHJ,13:40,14:50
Full,KL565,AMS,20:25,20:35,KL566,AMS,22:25,22:35
Arr,KQ101,LHR,6:30,6:30,KQ310,DXB,7:54,7:54
Park,KQ101,LHR,8:00,8:00,KQ310,DXB,17:39,17:50
Dep,KQ101,LHR,17:45,17:56,KQ310,DXB,19:15,19:26
Full,KQ117,AMS,6:10,6:37,KQ116,AMS,8:35,8:46
Full,KQ205,BOM,10:30,10:43,KQ704,LUN,12:05,12:05
Full,KQ251,SEZ,18:25,19:20,KQ330,JED,21:30,21:38
Arr,KQ252,HAH,18:25,18:25,,,19:49,19:49
Park,KQ252,HAH,19:55,19:55,,,22:23,22:23
Dep,KQ252,HAH,22:29,22:29,,,23:59,23:59
Arr,KQ257,TNR,20:15,20:15,KQ536,ABV,21:39,21:39
Park,KQ257,TNR,21:45,21:45,KQ536,ABV,6:19,7:14
Dep,KQ257,TNR,6:25,7:20,KQ536,ABV,7:55,8:50
Full,KQ257,TNR,20:15,21:03,KQ708,HRE,23:00,23:00
Arr,KQ311,DXB,6:55,6:55,KQ554,FIH,8:19,8:19
Park,KQ311,DXB,8:25,8:25,KQ554,FIH,10:29,10:29
Dep,KQ311,DXB,10:35,10:35,KQ554,FIH,12:05,12:05
Full,KQ349,KRT,6:35,6:45,KQ402,JIB,8:15,8:15
Full,KQ351,JUB,12:10,11:50,KQ608,MBA,14:15,14:31
Full,KQ353,JUB,18:00,17:48,KQ624,MBA,22:55,22:55
Full,KQ403,ADD,17:30,17:31,KQ416,EBB,19:10,19:20
Full,KQ411,EBB,11:05,11:05,KQ412,EBB,12:00,12:12
Arr,KQ413,EBB,15:05,15:05,,,16:29,16:29
Park,KQ413,EBB,16:35,16:35,,,22:23,22:23
Dep,KQ413,EBB,22:29,22:29,,,23:59,23:59
Full,KQ415,EBB,19:25,19:45,KQ488,DAR,22:55,23:52
Full,KQ417,EBB,22:15,21:26,KQ466,KGL,23:20,23:30
Full,KQ419,EBB,6:35,6:21,KQ432,JRO,8:00,8:00
Arr,KQ433,JRO,10:45,10:45,KQ444,BJM,12:09,12:09
Park,KQ433,JRO,12:15,12:15,KQ444,BJM,14:34,14:34
Dep,KQ433,JRO,14:40,14:40,KQ444,BJM,16:10,16:10
Full,KQ437,JRO,22:00,22:03,,,23:59,23:59
Arr,KQ444,BJM,21:15,21:15,KQ650,KIS,22:39,22:39
Park,KQ444,BJM,22:45,22:45,KQ650,KIS,5:14,5:19
Dep,KQ444,BJM,5:20,5:25,KQ650,KIS,6:50,6:55
Full,KQ444,BJM,21:15,21:04,KQ498,ZNZ,23:00,23:00
Arr,KQ447,KGL,6:05,6:01,KQ748,APL,7:29,7:25
Park,KQ447,KGL,7:35,7:31,KQ748,APL,10:49,11:06
Dep,KQ447,KGL,10:55,11:12,KQ748,APL,12:25,12:42
Arr,KQ448,BJM,12:50,12:50,KQ486,DAR,14:14,14:14
Park,KQ448,BJM,14:20,14:20,KQ486,DAR,17:14,18:04
Dep,KQ448,BJM,17:20,18:10,KQ486,DAR,18:50,19:40
Full,KQ481,DAR,11:10,12:05,KQ586,NLA,12:30,13:20
Full,KQ483,DAR,15:30,15:45,KQ414,EBB,16:20,16:58
Arr,KQ485,DAR,19:20,19:20,KQ448,BJM,20:44,20:44
Park,KQ485,DAR,20:50,20:50,KQ448,BJM,6:09,6:09
Dep,KQ485,DAR,6:15,6:15,KQ448,BJM,7:45,7:45
Full,KQ485,DAR,19:20,18:34,KQ734,LUN,22:45,23:50
Arr,KQ487,DAR,22:15,22:15,KQ256,TNR,23:39,23:39
Park,KQ487,DAR,23:45,23:45,KQ256,TNR,11:09,12:22
Dep,KQ487,DAR,11:15,12:28,KQ256,TNR,12:45,13:58
Full,KQ487,DAR,22:15,21:57,,,23:59,23:59
Full,KQ489,DAR,6:40,6:34,KQ494,ZNZ,8:05,8:05
Full,KQ495,ZNZ,11:15,10:31,KQ482,DAR,12:05,12:17
Full,KQ509,ACC,6:10,6:08,KQ760,JNB,8:30,8:40
Full,KQ521,ABJ,6:20,6:39,KQ504,FNA,10:35,10:47
Full,KQ522,NSI,21:40,22:37,,,23:59,23:59
Arr,KQ524,DLA,18:20,18:20,KQ522,NSI,19:44,19:44
Park,KQ524,DLA,19:50,19:50,KQ522,NSI,9:44,9:54
Dep,KQ524,DLA,9:50,10:00,KQ522,NSI,11:20,11:30
Arr,KQ533,LOS,19:50,19:45,KQ542,COO,21:14,21:09
Park,KQ533,LOS,21:20,21:15,KQ542,COO,6:19,7:24
Dep,KQ533,LOS,6:25,7:30,KQ542,COO,7:55,9:00
Arr,KQ537,ABV,18:25,17:42,,,19:49,19:06
Park,KQ537,ABV,19:55,19:12,,,22:23,22:23
Dep,KQ537,ABV,22:29,22:29,,,23:59,23:59
Full,KQ542,LOS,21:00,21:22,,,23:59,23:59
Full,KQ555,FIH,20:25,19:52,KQ112,CDG,23:05,23:22
Arr,KQ584,FBM,20:05,20:05,KQ252,HAH,21:29,21:29
Park,KQ584,FBM,21:35,21:35,KQ252,HAH,9:54,9:54
Dep,KQ584,FBM,10:00,10:00,KQ252,HAH,11:30,11:30
Full,KQ586,NLA,20:05,20:00,,,23:59,23:59
Arr,KQ601,MBA,9:30,9:20,,,10:54,10:44
Park,KQ601,MBA,11:00,10:50,,,22:23,22:23
Dep,KQ601,MBA,22:29,22:29,,,23:59,23:59
Full,KQ603,MBA,11:10,11:00,KQ762,JNB,12:05,12:22
Full,KQ605,MBA,12:55,12:40,KQ352,JUB,13:40,13:58
Full,KQ607,MBA,15:35,15:35,KQ610,MBA,16:25,16:25
Full,KQ609,MBA,16:55,16:50,KQ616,MBA,18:50,18:50
Full,KQ611,MBA,19:05,19:15,KQ618,MBA,19:50,20:38
Arr,KQ617,MBA,21:30,21:20,KQ600,MBA,22:54,22:44
Park,KQ617,MBA,23:00,22:50,KQ600,MBA,5:14,5:24
Dep,KQ617,MBA,5:20,5:30,KQ600,MBA,6:50,7:00
Full,KQ617,MBA,21:30,21:40,KQ418,EBB,22:55,23:44
Arr,KQ619,MBA,22:40,22:40,KQ350,JUB,0:04,0:04
Park,KQ619,MBA,0:10,0:10,KQ350,JUB,6:14,6:14
Dep,KQ619,MBA,6:20,6:20,KQ350,JUB,7:50,7:50
Full,KQ625,MBA,6:15,6:10,KQ640,MYD,8:55,8:55
Full,KQ641,MYD,11:45,11:25,KQ606,MBA,12:55,13:25
Full,KQ651,KIS,9:10,8:58,KQ654,KIS,9:55,10:32
Full,KQ655,KIS,12:15,12:07,KQ656,KIS,13:05,13:05
Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,KQ657,KIS,15:25,15:13,KQ670,KIS,17:30,17:39
Arr,KQ671,KIS,19:50,19:08,KQ480,DAR,21:14,20:32
Park,KQ671,KIS,21:20,20:38,KQ480,DAR,6:09,6:09
Dep,KQ671,KIS,6:15,6:15,KQ480,DAR,7:45,7:45
Full,KQ671,KIS,19:50,19:01,,,23:59,23:59
Arr,KQ704,LUN,20:30,20:29,KQ250,SEZ,21:54,21:53
Park,KQ704,LUN,22:00,21:59,KQ250,SEZ,9:54,11:24
Dep,KQ704,LUN,10:00,11:30,KQ250,SEZ,11:30,13:00
Full,KQ704,LUN,20:30,20:48,KQ764,JNB,21:50,21:50
Full,KQ717,GBE,6:50,6:50,KQ730,LLW,8:15,8:15
Full,KQ720,HRE,6:50,7:14,KQ604,MBA,10:15,10:42
Full,KQ731,LLW,13:30,13:30,KQ484,DAR,15:55,15:55
Full,KQ749,APL,18:05,17:48,KQ436,JRO,19:20,19:49
Arr,KQ752,BLZ,19:45,19:45,KQ410,EBB,21:09,21:09
Park,KQ752,BLZ,21:15,21:15,KQ410,EBB,6:24,6:34
Dep,KQ752,BLZ,6:30,6:40,KQ410,EBB,8:00,8:10
Full,KQ761,JNB,17:40,17:43,KQ204,BOM,21:25,21:30
Full,KQ763,JNB,21:25,22:28,KQ304,DXB,22:30,22:58
Full,KQ765,JNB,6:55,7:17,KQ602,MBA,8:30,8:40
Full,KQ8603,MBA,12:25,12:20,KQ8606,MBA,14:00,14:00
Full,KQ8607,MBA,16:45,16:55,KQ8608,MBA,19:30,20:25
Arr,KQ8609,MBA,22:15,22:05,KQ8602,MBA,23:39,23:29
Park,KQ8609,MBA,23:45,23:35,KQ8602,MBA,8:04,8:04
Dep,KQ8609,MBA,8:10,8:10,KQ8602,MBA,9:40,9:40
Full,KQ8609,MBA,22:15,22:23,,,23:59,23:59
Full,KQ8651,KIS,8:30,8:44,KQ8690,UKU,9:10,9:34
Arr,KQ8655,KIS,20:00,19:59,KQ8650,KIS,21:24,21:23
Park,KQ8655,KIS,21:30,21:29,KQ8650,KIS,4:54,4:54
Dep,KQ8655,KIS,5:00,5:00,KQ8650,KIS,6:30,6:30
Full,KQ8655,KIS,20:00,19:05,,,23:59,23:59
Full,KQ8661,EDL,9:00,8:56,KQ8680,LAU,9:40,9:40
Arr,KQ8665,EDL,19:10,19:08,KQ8660,EDL,20:34,20:32
Park,KQ8665,EDL,20:40,20:38,KQ8660,EDL,5:24,5:43
Dep,KQ8665,EDL,5:30,5:49,KQ8660,EDL,7:00,7:19
Full,KQ8665,EDL,19:10,19:20,,,23:59,23:59
Full,KQ8681,MYD,13:30,13:30,KQ8654,KIS,18:00,18:00
Full,KQ8691,UKU,11:30,11:10,KQ8692,UKU,14:10,14:20
Full,KQ8693,UKU,16:30,16:34,KQ8664,EDL,17:10,17:10
Arr,KQ887,BKK,6:45,6:34,KQ886,BKK,8:09,7:58
Park,KQ887,BKK,8:15,8:04,KQ886,BKK,21:34,21:34
Dep,KQ887,BKK,21:40,21:40,KQ886,BKK,23:10,23:10
Full,LX294,ZRH,18:40,18:50,LX295,DAR,19:35,19:45
Full,MK534,MRU,11:50,12:04,MK535,MRU,13:05,13:29
Full,MS849,CAI,7:10,7:20,MS850,CAI,8:10,8:25
Full,PW715,ZNZ,21:15,21:11,,,23:59,23:59
Full,PW723,JRO,7:00,7:00,PW722,JRO,8:30,8:30
Arr,PW725,JRO,19:20,19:20,PW710,ZNZ,20:44,20:44
Park,PW725,JRO,20:50,20:50,PW710,ZNZ,6:34,6:52
Dep,PW725,JRO,6:40,6:58,PW710,ZNZ,8:10,8:28
Full,PW725,JRO,19:20,18:15,,,23:59,23:59
Full,PW727,JRO,16:00,16:00,PW726,JRO,16:50,16:50
Full,QR1337,DOH,9:30,9:35,QR1338,DOH,12:35,12:40
Full,QR1339,DOH,13:10,13:20,QR1340,DOH,17:35,18:05
Full,SA184,JNB,15:15,15:20,SA185,JNB,16:05,16:10
Full,SN463,BRU,21:45,21:45,SN463,BRU,22:45,22:50
Full,SV431,JED,11:32,11:52,SV430,JED,13:10,13:40
Full,TK6510,FIH,18:30,18:27,TK6492,IST,21:00,21:00
Full,TM4462,MPM,14:25,14:24,TM4463,MPM,15:45,15:45
Full,WB402,KGL,15:40,15:10,WB403,KGL,16:30,16:30
Full,WB450,EBB,10:40,10:40,WB450,KGL,11:25,11:30
Full,WB460,KGL,20:15,20:25,WB460,EBB,21:35,22:05
Full,,,6:50,6:50,KQ210,BOM,7:50,8:04
Full,,,22:25,22:25,KQ102,LHR,23:25,23:33
Arr,CZ633,CAN,7:00,7:00,CZ634,CAN,8:24,8:24
Park,CZ633,CAN,8:30,8:30,CZ634,CAN,11:59,12:09
Dep,CZ633,CAN,12:05,12:15,CZ634,CAN,13:35,13:45
Full,EK721,DXB,19:00,19:00,EK722,DUB,22:50,22:50
Arr,SA180,JNB,22:40,22:40,SA181,JNB,0:04,0:04
Park,SA180,JNB,0:10,0:10,SA181,JNB,6:54,6:54
Dep,SA180,JNB,7:00,7:00,SA181,JNB,8:30,8:30
Full,TK607,IST,7:25,7:20,TK608,IST,10:35,10:35
Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,BA065,LHR,20:30,20:35,BA064,LHR,23:15,23:20
Full,EK719,DXB,14:30,15:00,EK720,DUB,16:40,17:30
Full,ET302,ADD,10:20,10:40,ET303,ADD,11:35,12:05
Arr,ET304,ADD,12:20,12:20,ET305,ADD,13:44,13:44
Park,ET304,ADD,13:50,13:50,ET305,ADD,15:59,16:31
Dep,ET304,ADD,16:05,16:37,ET305,ADD,17:35,18:07
Full,ET306,ADD,18:15,18:25,ET307,ADD,19:35,19:45
Arr,ET308,ADD,23:40,23:40,ET309,ADD,1:04,1:04
Park,ET308,ADD,1:10,1:10,ET309,ADD,4:24,4:24
Dep,ET308,ADD,4:30,4:30,ET309,ADD,6:00,6:00
Arr,ET308,ADD,23:45,23:45,ET309,ADD,1:09,1:09
Park,ET308,ADD,1:15,1:15,ET309,ADD,4:24,4:34
Dep,ET308,ADD,4:30,4:40,ET309,ADD,6:00,6:10
Full,EY641,AUH,12:47,12:47,EY642,AUH,13:40,13:40
Full,G9734,SHJ,13:06,13:03,G9735,SHJ,13:40,13:40
Full,KL565,AMS,20:25,20:35,KL566,AMS,22:25,22:35
Arr,KQ101,LHR,6:30,6:30,KQ310,DXB,7:54,7:54
Park,KQ101,LHR,8:00,8:00,KQ310,DXB,17:39,18:16
Dep,KQ101,LHR,17:45,18:22,KQ310,DXB,19:15,19:52
Full,KQ117,AMS,6:10,6:19,KQ116,AMS,8:35,9:14
Full,KQ205,BOM,10:30,10:37,KQ704,LUN,12:05,12:05
Full,KQ251,SEZ,18:25,19:31,KQ330,JED,21:30,21:50
Arr,KQ252,HAH,18:25,18:10,,,19:49,19:34
Park,KQ252,HAH,19:55,19:40,,,22:23,22:23
Dep,KQ252,HAH,22:29,22:29,,,23:59,23:59
Arr,KQ257,TNR,20:15,20:15,KQ536,ABV,21:39,21:39
Park,KQ257,TNR,21:45,21:45,KQ536,ABV,6:19,6:19
Dep,KQ257,TNR,6:25,6:25,KQ536,ABV,7:55,7:55
Full,KQ257,TNR,20:15,20:32,KQ708,HRE,23:00,23:00
Arr,KQ311,DXB,6:55,6:55,KQ554,FIH,8:19,8:19
Park,KQ311,DXB,8:25,8:25,KQ554,FIH,10:29,10:29
Dep,KQ311,DXB,10:35,10:35,KQ554,FIH,12:05,12:05
Full,KQ349,KRT,6:35,6:25,KQ402,JIB,8:15,8:15
Full,KQ351,JUB,12:10,12:27,KQ608,MBA,14:15,14:31
Full,KQ353,JUB,18:00,17:45,KQ624,MBA,22:55,23:52
Full,KQ403,ADD,17:30,16:16,KQ416,EBB,19:10,20:10
Full,KQ411,EBB,11:05,10:16,KQ412,EBB,12:00,12:23
Arr,KQ413,EBB,15:05,15:05,,,16:29,16:29
Park,KQ413,EBB,16:35,16:35,,,22:23,22:23
Dep,KQ413,EBB,22:29,22:29,,,23:59,23:59
Full,KQ415,EBB,19:25,20:05,KQ488,DAR,22:55,23:52
Full,KQ417,EBB,22:15,21:12,KQ466,KGL,23:20,23:31
Full,KQ419,EBB,6:35,5:27,KQ432,JRO,8:00,8:09
Arr,KQ433,JRO,10:45,10:33,KQ444,BJM,12:09,11:57
Park,KQ433,JRO,12:15,12:03,KQ444,BJM,14:34,15:04
Dep,KQ433,JRO,14:40,15:10,KQ444,BJM,16:10,16:40
Full,KQ437,JRO,22:00,21:10,,,23:59,23:59
Arr,KQ444,BJM,21:15,20:51,KQ650,KIS,22:39,22:15
Park,KQ444,BJM,22:45,22:21,KQ650,KIS,5:14,5:19
Dep,KQ444,BJM,5:20,5:25,KQ650,KIS,6:50,6:55
Full,KQ444,BJM,21:15,20:16,KQ498,ZNZ,23:00,23:16
Arr,KQ447,KGL,6:05,6:01,KQ748,APL,7:29,7:25
Park,KQ447,KGL,7:35,7:31,KQ748,APL,10:49,11:45
Dep,KQ447,KGL,10:55,11:51,KQ748,APL,12:25,13:21
Arr,KQ448,BJM,12:50,12:50,KQ486,DAR,14:14,14:14
Park,KQ448,BJM,14:20,14:20,KQ486,DAR,17:14,18:22
Dep,KQ448,BJM,17:20,18:28,KQ486,DAR,18:50,19:58
Full,KQ481,DAR,11:10,12:16,KQ586,NLA,12:30,13:31
Full,KQ483,DAR,15:30,15:27,KQ414,EBB,16:20,16:20
Arr,KQ485,DAR,19:20,18:34,KQ448,BJM,20:44,19:58
Park,KQ485,DAR,20:50,20:04,KQ448,BJM,6:09,6:09
Dep,KQ485,DAR,6:15,6:15,KQ448,BJM,7:45,7:45
Full,KQ485,DAR,19:20,19:34,KQ734,LUN,22:45,22:45
Arr,KQ487,DAR,22:15,21:59,KQ256,TNR,23:39,23:23
Park,KQ487,DAR,23:45,23:29,KQ256,TNR,11:09,12:11
Dep,KQ487,DAR,11:15,12:17,KQ256,TNR,12:45,13:47
Full,KQ487,DAR,22:15,22:00,,,23:59,23:59
Full,KQ489,DAR,6:40,6:24,KQ494,ZNZ,8:05,8:12
Full,KQ495,ZNZ,11:15,11:15,KQ482,DAR,12:05,12:05
Full,KQ509,ACC,6:10,6:08,KQ760,JNB,8:30,8:30
Full,KQ521,ABJ,6:20,6:09,KQ504,FNA,10:35,10:35
Full,KQ522,NSI,21:40,22:10,,,23:59,23:59
Arr,KQ524,DLA,18:20,18:20,KQ522,NSI,19:44,19:44
Park,KQ524,DLA,19:50,19:50,KQ522,NSI,9:44,10:09
Dep,KQ524,DLA,9:50,10:15,KQ522,NSI,11:20,11:45
Arr,KQ533,LOS,19:50,19:50,KQ542,COO,21:14,21:14
Park,KQ533,LOS,21:20,21:20,KQ542,COO,6:19,7:07
Dep,KQ533,LOS,6:25,7:13,KQ542,COO,7:55,8:43
Arr,KQ537,ABV,18:25,18:25,,,19:49,19:49
Park,KQ537,ABV,19:55,19:55,,,22:23,22:23
Dep,KQ537,ABV,22:29,22:29,,,23:59,23:59
Full,KQ542,LOS,21:00,21:54,,,23:59,23:59
Full,KQ555,FIH,20:25,20:07,KQ112,CDG,23:05,23:30
Arr,KQ584,FBM,20:05,20:05,KQ252,HAH,21:29,21:29
Park,KQ584,FBM,21:35,21:35,KQ252,HAH,9:54,10:49
Dep,KQ584,FBM,10:00,10:55,KQ252,HAH,11:30,12:25
Full,KQ586,NLA,20:05,19:40,,,23:59,23:59
Arr,KQ601,MBA,9:30,9:20,,,10:54,10:44
Park,KQ601,MBA,11:00,10:50,,,22:23,22:23
Dep,KQ601,MBA,22:29,22:29,,,23:59,23:59
Full,KQ603,MBA,11:10,11:10,KQ762,JNB,12:05,12:18
Full,KQ605,MBA,12:55,12:40,KQ352,JUB,13:40,15:08
Full,KQ607,MBA,15:35,15:40,KQ610,MBA,16:25,16:25
Full,KQ609,MBA,16:55,17:15,KQ616,MBA,18:50,19:44
Full,KQ611,MBA,19:05,19:15,KQ618,MBA,19:50,20:53
Arr,KQ617,MBA,21:30,20:45,KQ600,MBA,22:54,22:09
Park,KQ617,MBA,23:00,22:15,KQ600,MBA,5:14,6:05
Dep,KQ617,MBA,5:20,6:11,KQ600,MBA,6:50,7:41
Full,KQ617,MBA,21:30,21:35,KQ418,EBB,22:55,22:55
Arr,KQ619,MBA,22:40,22:25,KQ350,JUB,0:04,23:49
Park,KQ619,MBA,0:10,23:55,KQ350,JUB,6:14,6:14
Dep,KQ619,MBA,6:20,6:20,KQ350,JUB,7:50,7:50
Full,KQ625,MBA,6:15,6:10,KQ640,MYD,8:55,8:55
Full,KQ641,MYD,11:45,11:29,KQ606,MBA,12:55,13:25
Full,KQ651,KIS,9:10,8:57,KQ654,KIS,9:55,10:58
Full,KQ655,KIS,12:15,12:09,KQ656,KIS,13:05,13:05
Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,KQ657,KIS,15:25,15:19,KQ670,KIS,17:30,17:30
Arr,KQ671,KIS,19:50,19:05,KQ480,DAR,21:14,20:29
Park,KQ671,KIS,21:20,20:35,KQ480,DAR,6:09,6:09
Dep,KQ671,KIS,6:15,6:15,KQ480,DAR,7:45,7:45
Full,KQ671,KIS,19:50,20:14,,,23:59,23:59
Arr,KQ704,LUN,20:30,20:30,KQ250,SEZ,21:54,21:54
Park,KQ704,LUN,22:00,22:00,KQ250,SEZ,9:54,9:54
Dep,KQ704,LUN,10:00,10:00,KQ250,SEZ,11:30,11:30
Full,KQ704,LUN,20:30,20:19,KQ764,JNB,21:50,21:58
Full,KQ717,GBE,6:50,7:20,KQ730,LLW,8:15,8:44
Full,KQ720,HRE,6:50,7:48,KQ604,MBA,10:15,10:15
Full,KQ731,LLW,13:30,13:16,KQ484,DAR,15:55,16:04
Full,KQ749,APL,18:05,18:19,KQ436,JRO,19:20,20:05
Arr,KQ752,BLZ,19:45,19:45,KQ410,EBB,21:09,21:09
Park,KQ752,BLZ,21:15,21:15,KQ410,EBB,6:24,6:39
Dep,KQ752,BLZ,6:30,6:45,KQ410,EBB,8:00,8:15
Full,KQ761,JNB,17:40,18:01,KQ204,BOM,21:25,22:00
Full,KQ763,JNB,21:25,21:20,KQ304,DXB,22:30,22:49
Full,KQ765,JNB,6:55,6:39,KQ602,MBA,8:30,8:45
Full,KQ8603,MBA,12:25,12:20,KQ8606,MBA,14:00,14:00
Full,KQ8607,MBA,16:45,16:30,KQ8608,MBA,19:30,19:40
Arr,KQ8609,MBA,22:15,22:05,KQ8602,MBA,23:39,23:29
Park,KQ8609,MBA,23:45,23:35,KQ8602,MBA,8:04,8:04
Dep,KQ8609,MBA,8:10,8:10,KQ8602,MBA,9:40,9:40
Full,KQ8609,MBA,22:15,22:35,,,23:59,23:59
Full,KQ8651,KIS,8:30,7:37,KQ8690,UKU,9:10,9:34
Arr,KQ8655,KIS,20:00,19:54,KQ8650,KIS,21:24,21:18
Park,KQ8655,KIS,21:30,21:24,KQ8650,KIS,4:54,5:09
Dep,KQ8655,KIS,5:00,5:15,KQ8650,KIS,6:30,6:45
Full,KQ8655,KIS,20:00,20:13,,,23:59,23:59
Full,KQ8661,EDL,9:00,8:50,KQ8680,LAU,9:40,10:07
Arr,KQ8665,EDL,19:10,18:55,KQ8660,EDL,20:34,20:19
Park,KQ8665,EDL,20:40,20:25,KQ8660,EDL,5:24,5:24
Dep,KQ8665,EDL,5:30,5:30,KQ8660,EDL,7:00,7:00
Full,KQ8665,EDL,19:10,18:55,,,23:59,23:59
Full,KQ8681,MYD,13:30,13:42,KQ8654,KIS,18:00,18:13
Full,KQ8691,UKU,11:30,11:45,KQ8692,UKU,14:10,14:10
Full,KQ8693,UKU,16:30,15:48,KQ8664,EDL,17:10,17:38
Arr,KQ887,BKK,6:45,6:39,KQ886,BKK,8:09,8:03
Park,KQ887,BKK,8:15,8:09,KQ886,BKK,21:34,21:34
Dep,KQ887,BKK,21:40,21:40,KQ886,BKK,23:10,23:10
Full,LX294,ZRH,18:40,18:50,LX295,DAR,19:35,19:45
Full,MK534,MRU,11:50,11:43,MK535,MRU,13:05,13:13
Full,MS849,CAI,7:10,7:10,MS850,CAI,8:10,8:10
Full,PW715,ZNZ,21:15,20:55,,,23:59,23:59
Full,PW723,JRO,7:00,6:17,PW722,JRO,8:30,8:42
Arr,PW725,JRO,19:20,19:15,PW710,ZNZ,20:44,20:39
Park,PW725,JRO,20:50,20:45,PW710,ZNZ,6:34,6:34
Dep,PW725,JRO,6:40,6:40,PW710,ZNZ,8:10,8:10
Full,PW725,JRO,19:20,18:10,,,23:59,23:59
Full,PW727,JRO,16:00,14:54,PW726,JRO,16:50,16:50
Full,QR1337,DOH,9:30,9:50,QR1338,DOH,12:35,12:45
Full,QR1339,DOH,13:10,13:15,QR1340,DOH,17:35,17:35
Full,SA184,JNB,15:15,15:25,SA185,JNB,16:05,16:20
Full,SN463,BRU,21:45,22:15,SN463,BRU,22:45,22:55
Full,SV431,JED,11:32,11:52,SV430,JED,13:10,13:25
Full,TK6510,FIH,18:30,18:30,TK6492,IST,21:00,21:05
Full,TM4462,MPM,14:25,14:37,TM4463,MPM,15:45,15:57
Full,WB402,KGL,15:40,15:40,WB403,KGL,16:30,16:30
Full,WB450,EBB,10:40,10:50,WB450,KGL,11:25,11:35
Full,WB460,KGL,20:15,20:25,WB460,EBB,21:35,21:45
Full,,,6:50,6:50,KQ210,BOM,7:50,8:50
Full,,,22:25,22:25,KQ102,LHR,23:25,23:46
Arr,CZ633,CAN,7:00,7:00,CZ634,CAN,8:24,8:24
Park,CZ633,CAN,8:30,8:30,CZ634,CAN,11:59,12:04
Dep,CZ633,CAN,12:05,12:10,CZ634,CAN,13:35,13:40
Full,EK721,DXB,19:00,19:15,EK722,DUB,22:50,22:50
Arr,SA180,JNB,22:40,22:40,SA181,JNB,0:04,0:04
Park,SA180,JNB,0:10,0:10,SA181,JNB,6:54,6:54
Dep,SA180,JNB,7:00,7:00,SA181,JNB,8:30,8:30
Full,TK607,IST,7:25,7:15,TK608,IST,10:35,10:42
